Period_Group,NPS_2025,NPS_2024,NPS_2019,Target,Responses,Min_Date,Max_Date
345,,,28.323145838080894,,488,2018-12-31T00:00:00,2019-01-03T00:00:00
344,,,25.291063213500387,,1268,2019-01-04T00:00:00,2019-01-10T00:00:00
343,,,26.176993079184083,,1477,2019-01-11T00:00:00,2019-01-17T00:00:00
342,,,30.79023527753768,,2396,2019-01-18T00:00:00,2019-01-24T00:00:00
341,,,30.24856846508123,,2353,2019-01-25T00:00:00,2019-01-31T00:00:00
340,,,32.4276966486293,,1797,2019-02-01T00:00:00,2019-02-07T00:00:00
339,,,30.756578542984418,,2104,2019-02-08T00:00:00,2019-02-14T00:00:00
338,,,30.262312707205712,,1708,2019-02-15T00:00:00,2019-02-21T00:00:00
337,,,29.400663060851922,,1187,2019-02-22T00:00:00,2019-02-28T00:00:00
336,,,11.325875261734986,,1198,2019-03-01T00:00:00,2019-03-07T00:00:00
335,,,24.99472740635141,,1273,2019-03-08T00:00:00,2019-03-14T00:00:00
334,,,23.874928623947625,,1246,2019-03-15T00:00:00,2019-03-21T00:00:00
333,,,27.247946246098024,,1143,2019-03-22T00:00:00,2019-03-28T00:00:00
332,,,25.999820533652617,,1000,2019-03-29T00:00:00,2019-04-04T00:00:00
331,,,27.557680896689117,,1299,2019-04-05T00:00:00,2019-04-11T00:00:00
330,,,21.59624187201309,,1483,2019-04-12T00:00:00,2019-04-18T00:00:00
329,,,24.355492641138188,,1224,2019-04-19T00:00:00,2019-04-25T00:00:00
328,,,27.687597695651892,,1134,2019-04-26T00:00:00,2019-05-02T00:00:00
327,,,21.095484853767893,,1271,2019-05-03T00:00:00,2019-05-09T00:00:00
326,,,31.069503064641044,,1313,2019-05-10T00:00:00,2019-05-16T00:00:00
325,,,26.341720238779047,,1334,2019-05-17T00:00:00,2019-05-23T00:00:00
324,,,29.521311239781635,,1155,2019-05-24T00:00:00,2019-05-30T00:00:00
323,,,19.492735978882852,,1535,2019-05-31T00:00:00,2019-06-06T00:00:00
322,,,21.2009752958155,,2653,2019-06-07T00:00:00,2019-06-13T00:00:00
