Period_Group,NPS_2025,NPS_2024,NPS_2019,Target,Responses,Min_Date,Max_Date
345,,,31.523920434491796,,305,2018-12-31T00:00:00,2019-01-03T00:00:00
344,,,30.45241546589798,,843,2019-01-04T00:00:00,2019-01-10T00:00:00
343,,,27.23404759857943,,963,2019-01-11T00:00:00,2019-01-17T00:00:00
342,,,33.31503658156487,,1577,2019-01-18T00:00:00,2019-01-24T00:00:00
341,,,29.349021905157432,,1555,2019-01-25T00:00:00,2019-01-31T00:00:00
340,,,33.20344470321564,,1224,2019-02-01T00:00:00,2019-02-07T00:00:00
339,,,31.473106811601394,,1355,2019-02-08T00:00:00,2019-02-14T00:00:00
338,,,30.526839814684937,,1095,2019-02-15T00:00:00,2019-02-21T00:00:00
337,,,29.81254107145681,,751,2019-02-22T00:00:00,2019-02-28T00:00:00
336,,,8.53736573756946,,734,2019-03-01T00:00:00,2019-03-07T00:00:00
335,,,23.152582252972397,,798,2019-03-08T00:00:00,2019-03-14T00:00:00
334,,,20.022105053261704,,745,2019-03-15T00:00:00,2019-03-21T00:00:00
333,,,24.70228389652493,,701,2019-03-22T00:00:00,2019-03-28T00:00:00
332,,,24.48013688500273,,585,2019-03-29T00:00:00,2019-04-04T00:00:00
331,,,25.296049535410685,,801,2019-04-05T00:00:00,2019-04-11T00:00:00
330,,,24.077131194386713,,905,2019-04-12T00:00:00,2019-04-18T00:00:00
329,,,23.352349453400226,,717,2019-04-19T00:00:00,2019-04-25T00:00:00
328,,,30.663780906795754,,676,2019-04-26T00:00:00,2019-05-02T00:00:00
327,,,19.641353199947666,,765,2019-05-03T00:00:00,2019-05-09T00:00:00
326,,,30.536880695413554,,764,2019-05-10T00:00:00,2019-05-16T00:00:00
325,,,25.21255106244756,,773,2019-05-17T00:00:00,2019-05-23T00:00:00
324,,,31.95910081181295,,663,2019-05-24T00:00:00,2019-05-30T00:00:00
323,,,19.766642641476146,,905,2019-05-31T00:00:00,2019-06-06T00:00:00
322,,,19.23807131981977,,1598,2019-06-07T00:00:00,2019-06-13T00:00:00
321,,,20.281041699461,,1551,2019-06-14T00:00:00,2019-06-20T00:00:00
320,,,22.303984247892622,,1490,2019-06-21T00:00:00,2019-06-27T00:00:00
319,,,13.5676872994825,,1491,2019-06-28T00:00:00,2019-07-04T00:00:00
318,,,20.711896359740397,,986,2019-07-05T00:00:00,2019-07-11T00:00:00
317,,,21.957649313930325,,717,2019-07-12T00:00:00,2019-07-18T00:00:00
316,,,23.917876690109715,,766,2019-07-19T00:00:00,2019-07-25T00:00:00
315,,,19.92046619170662,,653,2019-07-26T00:00:00,2019-08-01T00:00:00
314,,,22.561150402317732,,535,2019-08-02T00:00:00,2019-08-08T00:00:00
313,,,30.273161478814867,,945,2019-08-09T00:00:00,2019-08-15T00:00:00
312,,,33.87766609319871,,911,2019-08-16T00:00:00,2019-08-22T00:00:00
311,,,24.762375968029385,,1092,2019-08-23T00:00:00,2019-08-29T00:00:00
310,,,22.61812945504497,,2064,2019-08-30T00:00:00,2019-09-05T00:00:00
309,,,28.892211377485527,,2321,2019-09-06T00:00:00,2019-09-12T00:00:00
308,,,20.603500750645757,,2239,2019-09-13T00:00:00,2019-09-19T00:00:00
307,,,28.231883559674376,,1965,2019-09-20T00:00:00,2019-09-26T00:00:00
306,,,31.969270665181934,,1534,2019-09-27T00:00:00,2019-10-03T00:00:00
305,,,35.24601097138117,,1978,2019-10-04T00:00:00,2019-10-10T00:00:00
304,,,29.410004898963447,,1779,2019-10-11T00:00:00,2019-10-17T00:00:00
303,,,33.12301732268262,,1670,2019-10-18T00:00:00,2019-10-24T00:00:00
302,,,32.277034094478296,,1798,2019-10-25T00:00:00,2019-10-31T00:00:00
301,,,24.424771943789384,,1519,2019-11-01T00:00:00,2019-11-07T00:00:00
300,,,31.772414275777532,,1834,2019-11-08T00:00:00,2019-11-14T00:00:00
299,,,32.266464745180684,,2168,2019-11-15T00:00:00,2019-11-21T00:00:00
298,,,29.293275984565437,,2193,2019-11-22T00:00:00,2019-11-28T00:00:00
297,,,31.50978220274064,,2570,2019-11-29T00:00:00,2019-12-05T00:00:00
296,,,14.635096543980787,,2083,2019-12-06T00:00:00,2019-12-12T00:00:00
295,,,12.467053238024576,,1871,2019-12-13T00:00:00,2019-12-19T00:00:00
294,,,15.375807803896361,,1930,2019-12-20T00:00:00,2019-12-26T00:00:00
293,,,32.774017162084284,,1841,2019-12-27T00:00:00,2020-01-02T00:00:00
292,,,,,1949,2020-01-03T00:00:00,2020-01-09T00:00:00
291,,,,,1597,2020-01-10T00:00:00,2020-01-16T00:00:00
290,,,,,1626,2020-01-17T00:00:00,2020-01-23T00:00:00
289,,,,,1736,2020-01-24T00:00:00,2020-01-30T00:00:00
288,,,,,1544,2020-01-31T00:00:00,2020-02-06T00:00:00
287,,,,,1660,2020-02-07T00:00:00,2020-02-13T00:00:00
286,,,,,710,2020-02-14T00:00:00,2020-02-20T00:00:00
285,,,,,2569,2020-02-21T00:00:00,2020-02-27T00:00:00
284,,,,,2172,2020-02-28T00:00:00,2020-03-05T00:00:00
283,,,,,1743,2020-03-06T00:00:00,2020-03-12T00:00:00
282,,,,,653,2020-03-13T00:00:00,2020-03-19T00:00:00
281,,,,,157,2020-03-20T00:00:00,2020-03-26T00:00:00
280,,,,,64,2020-03-27T00:00:00,2020-04-02T00:00:00
279,,,,,41,2020-04-03T00:00:00,2020-04-09T00:00:00
278,,,,,31,2020-04-10T00:00:00,2020-04-16T00:00:00
277,,,,,21,2020-04-17T00:00:00,2020-04-23T00:00:00
276,,,,,29,2020-04-24T00:00:00,2020-04-30T00:00:00
275,,,,,28,2020-05-01T00:00:00,2020-05-07T00:00:00
274,,,,,39,2020-05-08T00:00:00,2020-05-14T00:00:00
273,,,,,50,2020-05-15T00:00:00,2020-05-21T00:00:00
