Period_Group,Load_Factor,OTP15_adjusted,Mishandling,Misconex,Min_Date,Max_Date
345,75.90476190476191,83.68794326241135,,,2018-12-31T00:00:00,2019-01-03T00:00:00
344,84.66447302821817,84.91124260355029,,,2019-01-04T00:00:00,2019-01-10T00:00:00
343,77.43108149045743,87.08708708708708,,,2019-01-11T00:00:00,2019-01-17T00:00:00
342,75.04495927218872,88.65030674846625,,,2019-01-18T00:00:00,2019-01-24T00:00:00
341,78.29800695982284,93.88379204892966,,,2019-01-25T00:00:00,2019-01-31T00:00:00
340,77.63942659830491,89.53846153846155,,,2019-02-01T00:00:00,2019-02-07T00:00:00
339,79.26908150064683,89.62264150943396,,,2019-02-08T00:00:00,2019-02-14T00:00:00
338,82.21844092310965,90.53627760252367,,,2019-02-15T00:00:00,2019-02-21T00:00:00
337,85.79827673593512,88.58858858858859,,,2019-02-22T00:00:00,2019-02-28T00:00:00
336,82.6052889324192,75.5813953488372,,,2019-03-01T00:00:00,2019-03-07T00:00:00
335,84.1263494602159,87.79761904761905,,,2019-03-08T00:00:00,2019-03-14T00:00:00
334,83.73869346733669,91.04477611940298,,,2019-03-15T00:00:00,2019-03-21T00:00:00
333,83.66782006920415,91.76470588235294,,,2019-03-22T00:00:00,2019-03-28T00:00:00
332,85.58814872952027,89.01734104046243,,,2019-03-29T00:00:00,2019-04-04T00:00:00
331,88.41729472431574,82.02898550724638,,,2019-04-05T00:00:00,2019-04-11T00:00:00
330,80.09202742041506,84.02203856749311,,,2019-04-12T00:00:00,2019-04-18T00:00:00
329,82.7518656716418,85.79234972677597,,,2019-04-19T00:00:00,2019-04-25T00:00:00
328,84.79317619003945,86.82795698924731,,,2019-04-26T00:00:00,2019-05-02T00:00:00
327,82.72685818513452,84.28184281842819,,,2019-05-03T00:00:00,2019-05-09T00:00:00
326,86.19494848180906,88.44086021505376,,,2019-05-10T00:00:00,2019-05-16T00:00:00
325,86.63761127596439,89.91825613079018,,,2019-05-17T00:00:00,2019-05-23T00:00:00
324,90.04856593054156,85.75268817204301,,,2019-05-24T00:00:00,2019-05-30T00:00:00
323,89.19667590027701,82.36842105263158,,,2019-05-31T00:00:00,2019-06-06T00:00:00
322,86.33138194074863,90.31413612565446,,,2019-06-07T00:00:00,2019-06-13T00:00:00
321,88.9049512106975,82.4607329842932,,,2019-06-14T00:00:00,2019-06-20T00:00:00
320,90.4471179745017,81.62729658792651,,,2019-06-21T00:00:00,2019-06-27T00:00:00
319,90.90749978121991,74.55470737913485,,,2019-06-28T00:00:00,2019-07-04T00:00:00
318,85.91597210409934,83.41584158415841,,,2019-07-05T00:00:00,2019-07-11T00:00:00
