Period_Group,Load_Factor,OTP15_adjusted,Mishandling,Misconex,Min_Date,Max_Date
345,91.7239968287256,83.68794326241135,,,2018-12-31T00:00:00,2019-01-03T00:00:00
344,94.08946028622157,84.91124260355029,,,2019-01-04T00:00:00,2019-01-10T00:00:00
343,86.60106226986868,87.08708708708708,,,2019-01-11T00:00:00,2019-01-17T00:00:00
342,84.14246319441355,88.65030674846625,,,2019-01-18T00:00:00,2019-01-24T00:00:00
341,83.00761365145412,93.88379204892966,,,2019-01-25T00:00:00,2019-01-31T00:00:00
340,82.62621077534259,89.53846153846155,,,2019-02-01T00:00:00,2019-02-07T00:00:00
339,83.8706366673889,89.62264150943396,,,2019-02-08T00:00:00,2019-02-14T00:00:00
338,89.37170977340352,90.53627760252367,,,2019-02-15T00:00:00,2019-02-21T00:00:00
337,92.30744174936484,88.58858858858859,,,2019-02-22T00:00:00,2019-02-28T00:00:00
336,89.15747378585749,75.5813953488372,,,2019-03-01T00:00:00,2019-03-07T00:00:00
335,87.51073698677203,87.79761904761905,,,2019-03-08T00:00:00,2019-03-14T00:00:00
334,85.5572321621039,91.04477611940298,,,2019-03-15T00:00:00,2019-03-21T00:00:00
333,82.4927419525737,91.76470588235294,,,2019-03-22T00:00:00,2019-03-28T00:00:00
332,84.86099180825877,89.01734104046243,,,2019-03-29T00:00:00,2019-04-04T00:00:00
331,88.56081611300026,82.02898550724638,,,2019-04-05T00:00:00,2019-04-11T00:00:00
330,92.2515608223645,84.02203856749311,,,2019-04-12T00:00:00,2019-04-18T00:00:00
329,92.02186658215814,85.79234972677597,,,2019-04-19T00:00:00,2019-04-25T00:00:00
328,91.77067310500594,86.82795698924731,,,2019-04-26T00:00:00,2019-05-02T00:00:00
327,82.83687943262412,84.28184281842819,,,2019-05-03T00:00:00,2019-05-09T00:00:00
326,83.34525921642047,88.44086021505376,,,2019-05-10T00:00:00,2019-05-16T00:00:00
325,85.0126742712294,89.91825613079018,,,2019-05-17T00:00:00,2019-05-23T00:00:00
324,90.09236429102579,85.75268817204301,,,2019-05-24T00:00:00,2019-05-30T00:00:00
323,90.01901594855183,82.36842105263158,,,2019-05-31T00:00:00,2019-06-06T00:00:00
322,87.99570154249957,90.31413612565446,,,2019-06-07T00:00:00,2019-06-13T00:00:00
321,91.93936615278812,82.4607329842932,,,2019-06-14T00:00:00,2019-06-20T00:00:00
320,93.93263567221365,81.62729658792651,,,2019-06-21T00:00:00,2019-06-27T00:00:00
319,95.06267634950738,74.55470737913485,,,2019-06-28T00:00:00,2019-07-04T00:00:00
318,90.75743791603239,83.41584158415841,,,2019-07-05T00:00:00,2019-07-11T00:00:00
317,94.20356165612525,84.93827160493828,,,2019-07-12T00:00:00,2019-07-18T00:00:00
316,93.80207052910487,88.97243107769424,,,2019-07-19T00:00:00,2019-07-25T00:00:00
315,94.08083279022222,83.29238329238329,,,2019-07-26T00:00:00,2019-08-01T00:00:00
314,93.10254274123443,83.0423940149626,,,2019-08-02T00:00:00,2019-08-08T00:00:00
313,93.4694755329349,90.14778325123153,,,2019-08-09T00:00:00,2019-08-15T00:00:00
312,91.54180327128549,92.03980099502488,,,2019-08-16T00:00:00,2019-08-22T00:00:00
311,90.1721839893371,89.75,,,2019-08-23T00:00:00,2019-08-29T00:00:00
310,88.81206272177474,85.3904282115869,,,2019-08-30T00:00:00,2019-09-05T00:00:00
309,87.02130244992196,89.40568475452196,,,2019-09-06T00:00:00,2019-09-12T00:00:00
308,88.36273514591164,88.54961832061069,,,2019-09-13T00:00:00,2019-09-19T00:00:00
307,88.74350374110796,89.82188295165395,,,2019-09-20T00:00:00,2019-09-26T00:00:00
