Period_Group,Load_Factor,OTP15_adjusted,Mishandling,Misconex,Min_Date,Max_Date
345,75.28794642857143,91.635687732342,,,2018-12-31T00:00:00,2019-01-03T00:00:00
344,65.31502642157085,94.53183520599251,,,2019-01-04T00:00:00,2019-01-10T00:00:00
343,61.394037066881545,96.42324888226528,,,2019-01-11T00:00:00,2019-01-17T00:00:00
342,66.90059422978678,95.98811292719168,,,2019-01-18T00:00:00,2019-01-24T00:00:00
341,68.81032088037323,92.95252225519289,,,2019-01-25T00:00:00,2019-01-31T00:00:00
340,69.58222805787948,92.55711127487103,,,2019-02-01T00:00:00,2019-02-07T00:00:00
339,72.46027079914707,96.58181818181818,,,2019-02-08T00:00:00,2019-02-14T00:00:00
338,76.4208715895173,94.1944847605225,,,2019-02-15T00:00:00,2019-02-21T00:00:00
337,80.12958963282938,96.69064748201438,,,2019-02-22T00:00:00,2019-02-28T00:00:00
336,81.11391244556498,71.12417340191037,,,2019-03-01T00:00:00,2019-03-07T00:00:00
335,80.09589409955962,89.93576017130621,,,2019-03-08T00:00:00,2019-03-14T00:00:00
334,79.33365313331299,89.31133428981349,,,2019-03-15T00:00:00,2019-03-21T00:00:00
333,79.61116478056859,93.55762347888333,,,2019-03-22T00:00:00,2019-03-28T00:00:00
332,78.10876683325537,92.73972602739727,,,2019-03-29T00:00:00,2019-04-04T00:00:00
331,80.52379165783078,91.15462525320729,,,2019-04-05T00:00:00,2019-04-11T00:00:00
330,79.53340688319027,89.42665673864482,,,2019-04-12T00:00:00,2019-04-18T00:00:00
329,80.08131068944014,86.59588586595885,,,2019-04-19T00:00:00,2019-04-25T00:00:00
328,78.04633677795442,93.74149659863946,,,2019-04-26T00:00:00,2019-05-02T00:00:00
327,75.88841606055041,92.5115970841617,,,2019-05-03T00:00:00,2019-05-09T00:00:00
326,75.36715832120022,92.5925925925926,,,2019-05-10T00:00:00,2019-05-16T00:00:00
325,76.43092891805232,92.74406332453826,,,2019-05-17T00:00:00,2019-05-23T00:00:00
324,76.19295816283666,94.52054794520548,,,2019-05-24T00:00:00,2019-05-30T00:00:00
323,76.01317318868655,92.25721784776903,,,2019-05-31T00:00:00,2019-06-06T00:00:00
322,78.8255421536154,90.51383399209486,,,2019-06-07T00:00:00,2019-06-13T00:00:00
321,79.69323695567189,89.68809675366009,,,2019-06-14T00:00:00,2019-06-20T00:00:00
320,82.20219635339416,88.6052303860523,,,2019-06-21T00:00:00,2019-06-27T00:00:00
319,81.63219890265894,80.20304568527918,,,2019-06-28T00:00:00,2019-07-04T00:00:00
318,81.30984670253099,89.1439205955335,,,2019-07-05T00:00:00,2019-07-11T00:00:00
317,81.10061844980187,88.05418719211822,,,2019-07-12T00:00:00,2019-07-18T00:00:00
316,83.76068376068376,83.59423919849718,,,2019-07-19T00:00:00,2019-07-25T00:00:00
315,84.70104586693549,81.5958815958816,,,2019-07-26T00:00:00,2019-08-01T00:00:00
314,84.49262736221594,84.58498023715416,,,2019-08-02T00:00:00,2019-08-08T00:00:00
313,87.32187489856202,87.45917700849118,,,2019-08-09T00:00:00,2019-08-15T00:00:00
312,85.31852812449343,90.82628497072218,,,2019-08-16T00:00:00,2019-08-22T00:00:00
311,82.57318839993201,84.10290237467018,,,2019-08-23T00:00:00,2019-08-29T00:00:00
310,78.29435165549587,87.09884467265725,,,2019-08-30T00:00:00,2019-09-05T00:00:00
309,80.2226443768997,90.10088272383354,,,2019-09-06T00:00:00,2019-09-12T00:00:00
308,79.6187003911739,83.34405144694534,,,2019-09-13T00:00:00,2019-09-19T00:00:00
307,78.75852977667493,91.1214953271028,,,2019-09-20T00:00:00,2019-09-26T00:00:00
306,78.95961352657005,94.25133689839572,,,2019-09-27T00:00:00,2019-10-03T00:00:00
305,79.86891531711271,95.78030810448762,,,2019-10-04T00:00:00,2019-10-10T00:00:00
304,79.20815920707173,94.44072337575352,,,2019-10-11T00:00:00,2019-10-17T00:00:00
303,79.51119018634704,93.08724832214766,,,2019-10-18T00:00:00,2019-10-24T00:00:00
302,82.39747378648637,94.83734087694484,,,2019-10-25T00:00:00,2019-10-31T00:00:00
301,81.11752413175441,92.28529839883551,,,2019-11-01T00:00:00,2019-11-07T00:00:00
300,80.25090207266929,89.16728076639646,,,2019-11-08T00:00:00,2019-11-14T00:00:00
299,79.49723228035127,94.83260553129548,,,2019-11-15T00:00:00,2019-11-21T00:00:00
298,79.03549789251844,93.4876989869754,,,2019-11-22T00:00:00,2019-11-28T00:00:00
297,77.07216354691523,92.4795234549516,,,2019-11-29T00:00:00,2019-12-05T00:00:00
296,77.24435560804979,74.36305732484077,,,2019-12-06T00:00:00,2019-12-12T00:00:00
295,75.4304323531466,83.78995433789954,,,2019-12-13T00:00:00,2019-12-19T00:00:00
294,78.77645781824761,81.60211267605634,,,2019-12-20T00:00:00,2019-12-26T00:00:00
293,78.6496059858314,95.96136962247586,,,2019-12-27T00:00:00,2020-01-02T00:00:00
292,73.5869584764508,89.61447678992918,,,2020-01-03T00:00:00,2020-01-09T00:00:00
291,71.49959889630367,95.62547966231773,,,2020-01-10T00:00:00,2020-01-16T00:00:00
290,76.45341895083185,93.31779331779332,,,2020-01-17T00:00:00,2020-01-23T00:00:00
289,77.44492686572477,91.82242990654206,,,2020-01-24T00:00:00,2020-01-30T00:00:00
288,77.14353810403385,89.59580838323353,,,2020-01-31T00:00:00,2020-02-06T00:00:00
287,78.40394451559976,88.60294117647058,,,2020-02-07T00:00:00,2020-02-13T00:00:00
286,81.45846042240285,88.09005083514887,,,2020-02-14T00:00:00,2020-02-20T00:00:00
285,81.29259941208772,94.8153409090909,,,2020-02-21T00:00:00,2020-02-27T00:00:00
284,77.06510225698689,92.27467811158799,,,2020-02-28T00:00:00,2020-03-05T00:00:00
283,66.86118299758124,95.35055350553505,,,2020-03-06T00:00:00,2020-03-12T00:00:00
282,38.8196972600115,77.88461538461539,,,2020-03-13T00:00:00,2020-03-19T00:00:00
