Period_Group,NPS_2025,NPS_2024,NPS_2019,Target,Responses,Min_Date,Max_Date
345,,,20.84914221142874,,149,2018-12-31T00:00:00,2019-01-03T00:00:00
344,,,7.836345768248566,,349,2019-01-04T00:00:00,2019-01-10T00:00:00
343,,,21.305273163487218,,450,2019-01-11T00:00:00,2019-01-17T00:00:00
342,,,24.031389309565494,,745,2019-01-18T00:00:00,2019-01-24T00:00:00
341,,,30.78040576186847,,686,2019-01-25T00:00:00,2019-01-31T00:00:00
340,,,26.79564764852754,,501,2019-02-01T00:00:00,2019-02-07T00:00:00
339,,,26.76796665993042,,653,2019-02-08T00:00:00,2019-02-14T00:00:00
338,,,27.00007494614794,,537,2019-02-15T00:00:00,2019-02-21T00:00:00
337,,,23.58982193479772,,388,2019-02-22T00:00:00,2019-02-28T00:00:00
336,,,18.397223062198485,,413,2019-03-01T00:00:00,2019-03-07T00:00:00
335,,,27.3768545724028,,407,2019-03-08T00:00:00,2019-03-14T00:00:00
334,,,31.87878249453801,,425,2019-03-15T00:00:00,2019-03-21T00:00:00
333,,,29.338948743866016,,388,2019-03-22T00:00:00,2019-03-28T00:00:00
332,,,29.16352551441566,,366,2019-03-29T00:00:00,2019-04-04T00:00:00
331,,,32.15096614523477,,461,2019-04-05T00:00:00,2019-04-11T00:00:00
330,,,12.774214282556002,,512,2019-04-12T00:00:00,2019-04-18T00:00:00
329,,,23.621982821877825,,447,2019-04-19T00:00:00,2019-04-25T00:00:00
328,,,18.517155950948858,,405,2019-04-26T00:00:00,2019-05-02T00:00:00
327,,,22.13250895395267,,466,2019-05-03T00:00:00,2019-05-09T00:00:00
326,,,28.456377562208704,,487,2019-05-10T00:00:00,2019-05-16T00:00:00
325,,,26.217830463265337,,514,2019-05-17T00:00:00,2019-05-23T00:00:00
324,,,19.540762058766013,,440,2019-05-24T00:00:00,2019-05-30T00:00:00
323,,,16.59342697701227,,571,2019-05-31T00:00:00,2019-06-06T00:00:00
322,,,26.186156496203306,,950,2019-06-07T00:00:00,2019-06-13T00:00:00
321,,,24.29606833974015,,938,2019-06-14T00:00:00,2019-06-20T00:00:00
320,,,19.08823849931907,,899,2019-06-21T00:00:00,2019-06-27T00:00:00
319,,,15.525840302521715,,935,2019-06-28T00:00:00,2019-07-04T00:00:00
318,,,22.998097412533134,,521,2019-07-05T00:00:00,2019-07-11T00:00:00
317,,,19.180542989412555,,408,2019-07-12T00:00:00,2019-07-18T00:00:00
316,,,25.694343574289476,,493,2019-07-19T00:00:00,2019-07-25T00:00:00
315,,,18.4409363942393,,364,2019-07-26T00:00:00,2019-08-01T00:00:00
314,,,22.39108753761108,,295,2019-08-02T00:00:00,2019-08-08T00:00:00
313,,,26.390812974740886,,608,2019-08-09T00:00:00,2019-08-15T00:00:00
312,,,29.37054314483174,,618,2019-08-16T00:00:00,2019-08-22T00:00:00
311,,,18.10331728435547,,750,2019-08-23T00:00:00,2019-08-29T00:00:00
310,,,26.470693343959027,,987,2019-08-30T00:00:00,2019-09-05T00:00:00
309,,,22.26954651020794,,1198,2019-09-06T00:00:00,2019-09-12T00:00:00
308,,,26.32707043915053,,1129,2019-09-13T00:00:00,2019-09-19T00:00:00
307,,,33.68447007674232,,1047,2019-09-20T00:00:00,2019-09-26T00:00:00
306,,,29.605207505215045,,714,2019-09-27T00:00:00,2019-10-03T00:00:00
305,,,30.70466109702468,,909,2019-10-04T00:00:00,2019-10-10T00:00:00
304,,,29.893991726508556,,884,2019-10-11T00:00:00,2019-10-17T00:00:00
303,,,27.990049475624563,,843,2019-10-18T00:00:00,2019-10-24T00:00:00
302,,,29.220759289441784,,826,2019-10-25T00:00:00,2019-10-31T00:00:00
301,,,25.853998037852662,,696,2019-11-01T00:00:00,2019-11-07T00:00:00
300,,,32.7723135090586,,737,2019-11-08T00:00:00,2019-11-14T00:00:00
299,,,26.865363828083357,,808,2019-11-15T00:00:00,2019-11-21T00:00:00
298,,,23.726144865985038,,991,2019-11-22T00:00:00,2019-11-28T00:00:00
297,,,22.40971879664761,,783,2019-11-29T00:00:00,2019-12-05T00:00:00
296,,,29.292051202740247,,802,2019-12-06T00:00:00,2019-12-12T00:00:00
295,,,6.319431956763361,,857,2019-12-13T00:00:00,2019-12-19T00:00:00
294,,,10.832001630431538,,758,2019-12-20T00:00:00,2019-12-26T00:00:00
293,,,27.855643633345696,,739,2019-12-27T00:00:00,2020-01-02T00:00:00
292,,,,,812,2020-01-03T00:00:00,2020-01-09T00:00:00
291,,,,,765,2020-01-10T00:00:00,2020-01-16T00:00:00
290,,,,,625,2020-01-17T00:00:00,2020-01-23T00:00:00
289,,,,,691,2020-01-24T00:00:00,2020-01-30T00:00:00
288,,,,,684,2020-01-31T00:00:00,2020-02-06T00:00:00
287,,,,,680,2020-02-07T00:00:00,2020-02-13T00:00:00
286,,,,,249,2020-02-14T00:00:00,2020-02-20T00:00:00
285,,,,,856,2020-02-21T00:00:00,2020-02-27T00:00:00
284,,,,,1037,2020-02-28T00:00:00,2020-03-05T00:00:00
283,,,,,781,2020-03-06T00:00:00,2020-03-12T00:00:00
282,,,,,605,2020-03-13T00:00:00,2020-03-19T00:00:00
281,,,,,233,2020-03-20T00:00:00,2020-03-26T00:00:00
280,,,,,66,2020-03-27T00:00:00,2020-04-02T00:00:00
279,,,,,26,2020-04-03T00:00:00,2020-04-09T00:00:00
278,,,,,12,2020-04-10T00:00:00,2020-04-16T00:00:00
277,,,,,3,2020-04-17T00:00:00,2020-04-23T00:00:00
276,,,,,8,2020-04-24T00:00:00,2020-04-30T00:00:00
275,,,,,7,2020-05-01T00:00:00,2020-05-07T00:00:00
274,,,,,28,2020-05-08T00:00:00,2020-05-14T00:00:00
273,,,,,30,2020-05-15T00:00:00,2020-05-21T00:00:00
272,,,,,22,2020-05-22T00:00:00,2020-05-28T00:00:00
271,,,,,26,2020-05-29T00:00:00,2020-06-04T00:00:00
270,,,,,13,2020-06-05T00:00:00,2020-06-11T00:00:00
269,,,,,19,2020-06-12T00:00:00,2020-06-18T00:00:00
268,,,,,37,2020-06-19T00:00:00,2020-06-25T00:00:00
267,,,,,64,2020-06-26T00:00:00,2020-07-02T00:00:00
