Period_Group,NPS_2025,NPS_2024,NPS_2019,Target,Responses,Min_Date,Max_Date
345,,,34.74406094971429,,28,2018-12-31T00:00:00,2019-01-03T00:00:00
344,,,36.083346664,,64,2019-01-04T00:00:00,2019-01-10T00:00:00
343,,,46.438738820862746,,51,2019-01-11T00:00:00,2019-01-17T00:00:00
342,,,48.00071954535594,,59,2019-01-18T00:00:00,2019-01-24T00:00:00
341,,,42.71109391674726,,91,2019-01-25T00:00:00,2019-01-31T00:00:00
340,,,50.458346664,,60,2019-02-01T00:00:00,2019-02-07T00:00:00
339,,,44.20834666399999,,80,2019-02-08T00:00:00,2019-02-14T00:00:00
338,,,46.30580429111864,,59,2019-02-15T00:00:00,2019-02-21T00:00:00
337,,,67.2532184588718,,39,2019-02-22T00:00:00,2019-02-28T00:00:00
336,,,26.227577433230763,,39,2019-03-01T00:00:00,2019-03-07T00:00:00
335,,,43.60649481214815,,54,2019-03-08T00:00:00,2019-03-14T00:00:00
334,,,42.12501333066667,,60,2019-03-15T00:00:00,2019-03-21T00:00:00
333,,,63.458346664,,50,2019-03-22T00:00:00,2019-03-28T00:00:00
332,,,46.80744812913439,,39,2019-03-29T00:00:00,2019-04-04T00:00:00
331,,,50.29705634141935,,31,2019-04-05T00:00:00,2019-04-11T00:00:00
330,,,28.791679997333322,,51,2019-04-12T00:00:00,2019-04-18T00:00:00
329,,,47.958346664000004,,40,2019-04-19T00:00:00,2019-04-25T00:00:00
328,,,33.53819966289785,,42,2019-04-26T00:00:00,2019-05-02T00:00:00
327,,,54.079036319172396,,29,2019-05-03T00:00:00,2019-05-09T00:00:00
326,,,50.56038748032652,,49,2019-05-10T00:00:00,2019-05-16T00:00:00
325,,,56.99680820246153,,39,2019-05-17T00:00:00,2019-05-23T00:00:00
324,,,53.59788154772093,,43,2019-05-24T00:00:00,2019-05-30T00:00:00
323,,,26.600595558558247,,41,2019-05-31T00:00:00,2019-06-06T00:00:00
322,,,32.637833843487186,,78,2019-06-07T00:00:00,2019-06-13T00:00:00
321,,,34.281876075764714,,85,2019-06-14T00:00:00,2019-06-20T00:00:00
320,,,17.409566176195124,,82,2019-06-21T00:00:00,2019-06-27T00:00:00
319,,,25.174760358990426,,89,2019-06-28T00:00:00,2019-07-04T00:00:00
318,,,42.915973782644066,,59,2019-07-05T00:00:00,2019-07-11T00:00:00
317,,,19.902791108444443,,45,2019-07-12T00:00:00,2019-07-18T00:00:00
316,,,43.077394283047624,,42,2019-07-19T00:00:00,2019-07-25T00:00:00
315,,,39.76678368037041,,47,2019-07-26T00:00:00,2019-08-01T00:00:00
314,,,42.95834666399999,,40,2019-08-02T00:00:00,2019-08-08T00:00:00
313,,,42.12501333066666,,45,2019-08-09T00:00:00,2019-08-15T00:00:00
312,,,49.304500510153844,,39,2019-08-16T00:00:00,2019-08-22T00:00:00
311,,,56.996808202461544,,52,2019-08-23T00:00:00,2019-08-29T00:00:00
310,,,32.89154379044864,,118,2019-08-30T00:00:00,2019-09-05T00:00:00
309,,,47.90589911155245,,143,2019-09-06T00:00:00,2019-09-12T00:00:00
308,,,28.51619790366942,,121,2019-09-13T00:00:00,2019-09-19T00:00:00
307,,,37.80068900634236,,111,2019-09-20T00:00:00,2019-09-26T00:00:00
306,,,50.441340805722966,,93,2019-09-27T00:00:00,2019-10-03T00:00:00
305,,,43.64016484581818,,110,2019-10-04T00:00:00,2019-10-10T00:00:00
304,,,48.14651870701075,,93,2019-10-11T00:00:00,2019-10-17T00:00:00
303,,,41.612192817846164,,91,2019-10-18T00:00:00,2019-10-24T00:00:00
302,,,50.19518876926316,,95,2019-10-25T00:00:00,2019-10-31T00:00:00
301,,,54.153998837913036,,92,2019-11-01T00:00:00,2019-11-07T00:00:00
300,,,43.16476868234861,,109,2019-11-08T00:00:00,2019-11-14T00:00:00
299,,,48.84180531061654,,133,2019-11-15T00:00:00,2019-11-21T00:00:00
298,,,43.357506327865536,,119,2019-11-22T00:00:00,2019-11-28T00:00:00
297,,,38.19052156132354,,116,2019-11-29T00:00:00,2019-12-05T00:00:00
296,,,34.616488256920334,,113,2019-12-06T00:00:00,2019-12-12T00:00:00
295,,,28.77364786881927,,83,2019-12-13T00:00:00,2019-12-19T00:00:00
294,,,23.374272589925916,,108,2019-12-20T00:00:00,2019-12-26T00:00:00
293,,,42.44834666399999,,93,2019-12-27T00:00:00,2020-01-02T00:00:00
292,,,,,122,2020-01-03T00:00:00,2020-01-09T00:00:00
291,,,,,65,2020-01-10T00:00:00,2020-01-16T00:00:00
290,,,,,77,2020-01-17T00:00:00,2020-01-23T00:00:00
289,,,,,56,2020-01-24T00:00:00,2020-01-30T00:00:00
288,,,,,53,2020-01-31T00:00:00,2020-02-06T00:00:00
287,,,,,83,2020-02-07T00:00:00,2020-02-13T00:00:00
286,,,,,46,2020-02-14T00:00:00,2020-02-20T00:00:00
285,,,,,130,2020-02-21T00:00:00,2020-02-27T00:00:00
284,,,,,99,2020-02-28T00:00:00,2020-03-05T00:00:00
283,,,,,69,2020-03-06T00:00:00,2020-03-12T00:00:00
282,,,,,30,2020-03-13T00:00:00,2020-03-19T00:00:00
281,,,,,12,2020-03-20T00:00:00,2020-03-26T00:00:00
280,,,,,4,2020-03-27T00:00:00,2020-04-02T00:00:00
279,,,,,8,2020-04-03T00:00:00,2020-04-09T00:00:00
278,,,,,4,2020-04-10T00:00:00,2020-04-16T00:00:00
277,,,,,1,2020-04-17T00:00:00,2020-04-23T00:00:00
276,,,,,5,2020-04-24T00:00:00,2020-04-30T00:00:00
275,,,,,3,2020-05-01T00:00:00,2020-05-07T00:00:00
274,,,,,7,2020-05-08T00:00:00,2020-05-14T00:00:00
273,,,,,7,2020-05-15T00:00:00,2020-05-21T00:00:00
272,,,,,6,2020-05-22T00:00:00,2020-05-28T00:00:00
271,,,,,13,2020-05-29T00:00:00,2020-06-04T00:00:00
270,,,,,7,2020-06-05T00:00:00,2020-06-11T00:00:00
269,,,,,2,2020-06-12T00:00:00,2020-06-18T00:00:00
268,,,,,5,2020-06-19T00:00:00,2020-06-25T00:00:00
267,,,,,40,2020-06-26T00:00:00,2020-07-02T00:00:00
266,,,,,78,2020-07-03T00:00:00,2020-07-09T00:00:00
265,,,,,70,2020-07-10T00:00:00,2020-07-16T00:00:00
264,,,,,74,2020-07-17T00:00:00,2020-07-23T00:00:00
263,,,,,48,2020-07-24T00:00:00,2020-07-30T00:00:00
262,,,,,72,2020-07-31T00:00:00,2020-08-06T00:00:00
261,,,,,32,2020-08-07T00:00:00,2020-08-13T00:00:00
260,,,,,48,2020-08-14T00:00:00,2020-08-20T00:00:00
259,,,,,51,2020-08-21T00:00:00,2020-08-27T00:00:00
258,,,,,55,2020-08-28T00:00:00,2020-09-03T00:00:00
257,,,,,55,2020-09-04T00:00:00,2020-09-10T00:00:00
256,,,,,32,2020-09-11T00:00:00,2020-09-17T00:00:00
255,,,,,29,2020-09-18T00:00:00,2020-09-24T00:00:00
254,,,,,49,2020-09-25T00:00:00,2020-10-01T00:00:00
253,,,,,41,2020-10-02T00:00:00,2020-10-08T00:00:00
252,,,,,28,2020-10-09T00:00:00,2020-10-15T00:00:00
251,,,,,28,2020-10-16T00:00:00,2020-10-22T00:00:00
250,,,,,28,2020-10-23T00:00:00,2020-10-29T00:00:00
249,,,,,36,2020-10-30T00:00:00,2020-11-05T00:00:00
248,,,,,30,2020-11-06T00:00:00,2020-11-12T00:00:00
247,,,,,32,2020-11-13T00:00:00,2020-11-19T00:00:00
246,,,,,34,2020-11-20T00:00:00,2020-11-26T00:00:00
245,,,,,39,2020-11-27T00:00:00,2020-12-03T00:00:00
244,,,,,33,2020-12-04T00:00:00,2020-12-10T00:00:00
243,,,,,60,2020-12-11T00:00:00,2020-12-17T00:00:00
242,,,,,51,2020-12-18T00:00:00,2020-12-24T00:00:00
241,,,,,49,2020-12-25T00:00:00,2020-12-31T00:00:00
240,,,,,43,2021-01-01T00:00:00,2021-01-07T00:00:00
239,,,,,24,2021-01-08T00:00:00,2021-01-14T00:00:00
238,,,,,45,2021-01-15T00:00:00,2021-01-21T00:00:00
237,,,,,46,2021-01-22T00:00:00,2021-01-28T00:00:00
236,,,,,35,2021-01-29T00:00:00,2021-02-04T00:00:00
235,,,,,26,2021-02-05T00:00:00,2021-02-11T00:00:00
234,,,,,26,2021-02-12T00:00:00,2021-02-18T00:00:00
233,,,,,34,2021-02-19T00:00:00,2021-02-25T00:00:00
232,,,,,35,2021-02-26T00:00:00,2021-03-04T00:00:00
231,,,,,38,2021-03-05T00:00:00,2021-03-11T00:00:00
230,,,,,47,2021-03-12T00:00:00,2021-03-18T00:00:00
229,,,,,56,2021-03-19T00:00:00,2021-03-25T00:00:00
228,,,,,45,2021-03-26T00:00:00,2021-04-01T00:00:00
227,,,,,38,2021-04-02T00:00:00,2021-04-08T00:00:00
226,,,,,59,2021-04-09T00:00:00,2021-04-15T00:00:00
225,,,,,41,2021-04-16T00:00:00,2021-04-22T00:00:00
224,,,,,42,2021-04-23T00:00:00,2021-04-29T00:00:00
223,,,,,46,2021-04-30T00:00:00,2021-05-06T00:00:00
222,,,,,66,2021-05-07T00:00:00,2021-05-13T00:00:00
221,,,,,87,2021-05-14T00:00:00,2021-05-20T00:00:00
220,,,,,75,2021-05-21T00:00:00,2021-05-27T00:00:00
219,,,,,60,2021-05-28T00:00:00,2021-06-03T00:00:00
218,,,,,78,2021-06-04T00:00:00,2021-06-10T00:00:00
217,,,,,67,2021-06-11T00:00:00,2021-06-17T00:00:00
216,,,,,78,2021-06-18T00:00:00,2021-06-24T00:00:00
215,,,,,91,2021-06-25T00:00:00,2021-07-01T00:00:00
214,,,,,74,2021-07-02T00:00:00,2021-07-08T00:00:00
213,,,,,93,2021-07-09T00:00:00,2021-07-15T00:00:00
212,,,,,85,2021-07-16T00:00:00,2021-07-22T00:00:00
211,,,,,79,2021-07-23T00:00:00,2021-07-29T00:00:00
210,,,,,117,2021-07-30T00:00:00,2021-08-05T00:00:00
209,,,,,79,2021-08-06T00:00:00,2021-08-12T00:00:00
208,,,,,123,2021-08-13T00:00:00,2021-08-19T00:00:00
207,,,,,118,2021-08-20T00:00:00,2021-08-26T00:00:00
206,,,,,128,2021-08-27T00:00:00,2021-09-02T00:00:00
205,,,,,112,2021-09-03T00:00:00,2021-09-09T00:00:00
204,,,,,111,2021-09-10T00:00:00,2021-09-16T00:00:00
203,,,,,176,2021-09-17T00:00:00,2021-09-23T00:00:00
202,,,,,138,2021-09-24T00:00:00,2021-09-30T00:00:00
201,,,,,124,2021-10-01T00:00:00,2021-10-07T00:00:00
200,,,,,125,2021-10-08T00:00:00,2021-10-14T00:00:00
199,,,,,109,2021-10-15T00:00:00,2021-10-21T00:00:00
