Period_Group,NPS_2025,NPS_2024,NPS_2019,Target,Responses,Min_Date,Max_Date
345,,,-4.541653336,,6.0,2018-12-31T00:00:00,2019-01-03T00:00:00
344,,,53.791679997333326,,12.0,2019-01-04T00:00:00,2019-01-10T00:00:00
343,,,26.22757743323077,,13.0,2019-01-11T00:00:00,2019-01-17T00:00:00
342,,,-4.541653336,,15.0,2019-01-18T00:00:00,2019-01-24T00:00:00
341,,,43.07739428304762,,21.0,2019-01-25T00:00:00,2019-01-31T00:00:00
340,,,45.458346664,,12.0,2019-02-01T00:00:00,2019-02-07T00:00:00
339,,,26.708346663999993,,16.0,2019-02-08T00:00:00,2019-02-14T00:00:00
338,,,42.51717019341175,,17.0,2019-02-15T00:00:00,2019-02-21T00:00:00
337,,,39.90279110844444,,9.0,2019-02-22T00:00:00,2019-02-28T00:00:00
336,,,-4.541653336,,12.0,2019-03-01T00:00:00,2019-03-07T00:00:00
335,,,45.458346664000004,,14.0,2019-03-08T00:00:00,2019-03-14T00:00:00
334,,,26.708346663999997,,16.0,2019-03-15T00:00:00,2019-03-21T00:00:00
333,,,45.458346664000004,,4.0,2019-03-22T00:00:00,2019-03-28T00:00:00
332,,,-24.822440160667345,,10.0,2019-03-29T00:00:00,2019-04-04T00:00:00
331,,,28.791679997333336,,6.0,2019-04-05T00:00:00,2019-04-11T00:00:00
330,,,35.458346664000004,,15.0,2019-04-12T00:00:00,2019-04-18T00:00:00
329,,,35.45834666399999,,20.0,2019-04-19T00:00:00,2019-04-25T00:00:00
328,,,22.705180070813388,,11.0,2019-04-26T00:00:00,2019-05-02T00:00:00
327,,,31.821983027636367,,11.0,2019-05-03T00:00:00,2019-05-09T00:00:00
326,,,64.68911589476923,,13.0,2019-05-10T00:00:00,2019-05-16T00:00:00
325,,,20.458346664,,8.0,2019-05-17T00:00:00,2019-05-23T00:00:00
324,,,28.79167999733333,,9.0,2019-05-24T00:00:00,2019-05-30T00:00:00
323,,,48.736218728101875,,18.0,2019-05-31T00:00:00,2019-06-06T00:00:00
322,,,6.569457775111112,,27.0,2019-06-07T00:00:00,2019-06-13T00:00:00
321,,,23.458346664,,25.0,2019-06-14T00:00:00,2019-06-20T00:00:00
320,,,14.81318537367742,,31.0,2019-06-21T00:00:00,2019-06-27T00:00:00
319,,,-8.278242311212733,,27.0,2019-06-28T00:00:00,2019-07-04T00:00:00
318,,,15.458346664,,10.0,2019-07-05T00:00:00,2019-07-11T00:00:00
317,,,20.458346663999997,,12.0,2019-07-12T00:00:00,2019-07-18T00:00:00
