Period_Group,NPS_2025,NPS_2024,NPS_2019,Target,Responses,Min_Date,Max_Date
345,,,31.988027029296813,,219,2018-12-31T00:00:00,2019-01-03T00:00:00
344,,,25.78621551645902,,610,2019-01-04T00:00:00,2019-01-10T00:00:00
343,,,25.388416594069927,,715,2019-01-11T00:00:00,2019-01-17T00:00:00
342,,,28.881285732100327,,1116,2019-01-18T00:00:00,2019-01-24T00:00:00
341,,,24.833346663999976,,1120,2019-01-25T00:00:00,2019-01-31T00:00:00
340,,,32.22135244434685,,865,2019-02-01T00:00:00,2019-02-07T00:00:00
339,,,29.410875043773043,,969,2019-02-08T00:00:00,2019-02-14T00:00:00
338,,,26.883283050768505,,786,2019-02-15T00:00:00,2019-02-21T00:00:00
337,,,24.579225784879142,,546,2019-02-22T00:00:00,2019-02-28T00:00:00
336,,,7.2461659174381206,,509,2019-03-01T00:00:00,2019-03-07T00:00:00
335,,,21.94957473417545,,570,2019-03-08T00:00:00,2019-03-14T00:00:00
334,,,17.059836421914337,,537,2019-03-15T00:00:00,2019-03-21T00:00:00
333,,,23.031162197980567,,515,2019-03-22T00:00:00,2019-03-28T00:00:00
332,,,18.299540572963256,,415,2019-03-29T00:00:00,2019-04-04T00:00:00
331,,,21.907622026318798,,552,2019-04-05T00:00:00,2019-04-11T00:00:00
330,,,25.0264529762923,,602,2019-04-12T00:00:00,2019-04-18T00:00:00
329,,,23.564252977645587,,491,2019-04-19T00:00:00,2019-04-25T00:00:00
328,,,29.612800399310675,,451,2019-04-26T00:00:00,2019-05-02T00:00:00
327,,,16.794153714092772,,539,2019-05-03T00:00:00,2019-05-09T00:00:00
326,,,29.83948615319451,,509,2019-05-10T00:00:00,2019-05-16T00:00:00
325,,,23.810837085455958,,522,2019-05-17T00:00:00,2019-05-23T00:00:00
324,,,24.38773162983145,,439,2019-05-24T00:00:00,2019-05-30T00:00:00
323,,,15.236274388249498,,607,2019-05-31T00:00:00,2019-06-06T00:00:00
322,,,17.514421430355146,,1070,2019-06-07T00:00:00,2019-06-13T00:00:00
321,,,16.921291803557267,,1039,2019-06-14T00:00:00,2019-06-20T00:00:00
320,,,18.283321075463668,,977,2019-06-21T00:00:00,2019-06-27T00:00:00
319,,,10.32644602938479,,979,2019-06-28T00:00:00,2019-07-04T00:00:00
318,,,19.427812312855014,,655,2019-07-05T00:00:00,2019-07-11T00:00:00
317,,,20.673863905379342,,464,2019-07-12T00:00:00,2019-07-18T00:00:00
316,,,24.029775235428623,,483,2019-07-19T00:00:00,2019-07-25T00:00:00
315,,,21.438575698568894,,440,2019-07-26T00:00:00,2019-08-01T00:00:00
314,,,19.491495835270676,,362,2019-08-02T00:00:00,2019-08-08T00:00:00
313,,,32.47133367698699,,616,2019-08-09T00:00:00,2019-08-15T00:00:00
312,,,31.18455701458429,,599,2019-08-16T00:00:00,2019-08-22T00:00:00
311,,,24.870111369882405,,731,2019-08-23T00:00:00,2019-08-29T00:00:00
310,,,17.260851224155108,,1376,2019-08-30T00:00:00,2019-09-05T00:00:00
309,,,27.058083332861273,,1519,2019-09-06T00:00:00,2019-09-12T00:00:00
308,,,17.15459912948334,,1521,2019-09-13T00:00:00,2019-09-19T00:00:00
307,,,25.645612581603114,,1335,2019-09-20T00:00:00,2019-09-26T00:00:00
306,,,27.839238135046198,,1055,2019-09-27T00:00:00,2019-10-03T00:00:00
305,,,32.11523815960116,,1364,2019-10-04T00:00:00,2019-10-10T00:00:00
304,,,24.99202542047668,,1158,2019-10-11T00:00:00,2019-10-17T00:00:00
303,,,27.44759397582794,,1116,2019-10-18T00:00:00,2019-10-24T00:00:00
302,,,30.086445837553715,,1210,2019-10-25T00:00:00,2019-10-31T00:00:00
301,,,17.615781066332378,,1029,2019-11-01T00:00:00,2019-11-07T00:00:00
300,,,30.474372305025785,,1248,2019-11-08T00:00:00,2019-11-14T00:00:00
299,,,28.791679997333507,,1488,2019-11-15T00:00:00,2019-11-21T00:00:00
298,,,25.669428458195377,,1516,2019-11-22T00:00:00,2019-11-28T00:00:00
297,,,27.20715793132968,,1751,2019-11-29T00:00:00,2019-12-05T00:00:00
296,,,11.253532368274705,,1427,2019-12-06T00:00:00,2019-12-12T00:00:00
295,,,8.113944097841223,,1247,2019-12-13T00:00:00,2019-12-19T00:00:00
294,,,11.952163457893125,,1310,2019-12-20T00:00:00,2019-12-26T00:00:00
293,,,29.559457775111106,,1292,2019-12-27T00:00:00,2020-01-02T00:00:00
292,,,,,1333,2020-01-03T00:00:00,2020-01-09T00:00:00
291,,,,,1106,2020-01-10T00:00:00,2020-01-16T00:00:00
290,,,,,1127,2020-01-17T00:00:00,2020-01-23T00:00:00
289,,,,,1251,2020-01-24T00:00:00,2020-01-30T00:00:00
288,,,,,1098,2020-01-31T00:00:00,2020-02-06T00:00:00
287,,,,,1166,2020-02-07T00:00:00,2020-02-13T00:00:00
286,,,,,490,2020-02-14T00:00:00,2020-02-20T00:00:00
285,,,,,1747,2020-02-21T00:00:00,2020-02-27T00:00:00
284,,,,,1447,2020-02-28T00:00:00,2020-03-05T00:00:00
283,,,,,1134,2020-03-06T00:00:00,2020-03-12T00:00:00
282,,,,,428,2020-03-13T00:00:00,2020-03-19T00:00:00
281,,,,,124,2020-03-20T00:00:00,2020-03-26T00:00:00
280,,,,,60,2020-03-27T00:00:00,2020-04-02T00:00:00
279,,,,,41,2020-04-03T00:00:00,2020-04-09T00:00:00
278,,,,,31,2020-04-10T00:00:00,2020-04-16T00:00:00
277,,,,,21,2020-04-17T00:00:00,2020-04-23T00:00:00
276,,,,,29,2020-04-24T00:00:00,2020-04-30T00:00:00
275,,,,,28,2020-05-01T00:00:00,2020-05-07T00:00:00
274,,,,,39,2020-05-08T00:00:00,2020-05-14T00:00:00
273,,,,,50,2020-05-15T00:00:00,2020-05-21T00:00:00
272,,,,,46,2020-05-22T00:00:00,2020-05-28T00:00:00
271,,,,,66,2020-05-29T00:00:00,2020-06-04T00:00:00
270,,,,,54,2020-06-05T00:00:00,2020-06-11T00:00:00
269,,,,,63,2020-06-12T00:00:00,2020-06-18T00:00:00
268,,,,,77,2020-06-19T00:00:00,2020-06-25T00:00:00
267,,,,,323,2020-06-26T00:00:00,2020-07-02T00:00:00
266,,,,,660,2020-07-03T00:00:00,2020-07-09T00:00:00
265,,,,,649,2020-07-10T00:00:00,2020-07-16T00:00:00
264,,,,,754,2020-07-17T00:00:00,2020-07-23T00:00:00
263,,,,,603,2020-07-24T00:00:00,2020-07-30T00:00:00
262,,,,,650,2020-07-31T00:00:00,2020-08-06T00:00:00
261,,,,,639,2020-08-07T00:00:00,2020-08-13T00:00:00
260,,,,,670,2020-08-14T00:00:00,2020-08-20T00:00:00
259,,,,,647,2020-08-21T00:00:00,2020-08-27T00:00:00
258,,,,,664,2020-08-28T00:00:00,2020-09-03T00:00:00
257,,,,,618,2020-09-04T00:00:00,2020-09-10T00:00:00
256,,,,,525,2020-09-11T00:00:00,2020-09-17T00:00:00
255,,,,,513,2020-09-18T00:00:00,2020-09-24T00:00:00
254,,,,,451,2020-09-25T00:00:00,2020-10-01T00:00:00
253,,,,,328,2020-10-02T00:00:00,2020-10-08T00:00:00
252,,,,,301,2020-10-09T00:00:00,2020-10-15T00:00:00
251,,,,,263,2020-10-16T00:00:00,2020-10-22T00:00:00
250,,,,,327,2020-10-23T00:00:00,2020-10-29T00:00:00
249,,,,,327,2020-10-30T00:00:00,2020-11-05T00:00:00
248,,,,,315,2020-11-06T00:00:00,2020-11-12T00:00:00
247,,,,,323,2020-11-13T00:00:00,2020-11-19T00:00:00
246,,,,,314,2020-11-20T00:00:00,2020-11-26T00:00:00
245,,,,,367,2020-11-27T00:00:00,2020-12-03T00:00:00
244,,,,,349,2020-12-04T00:00:00,2020-12-10T00:00:00
243,,,,,513,2020-12-11T00:00:00,2020-12-17T00:00:00
242,,,,,487,2020-12-18T00:00:00,2020-12-24T00:00:00
241,,,,,403,2020-12-25T00:00:00,2020-12-31T00:00:00
240,,,,,454,2021-01-01T00:00:00,2021-01-07T00:00:00
239,,,,,253,2021-01-08T00:00:00,2021-01-14T00:00:00
238,,,,,422,2021-01-15T00:00:00,2021-01-21T00:00:00
237,,,,,339,2021-01-22T00:00:00,2021-01-28T00:00:00
236,,,,,360,2021-01-29T00:00:00,2021-02-04T00:00:00
235,,,,,287,2021-02-05T00:00:00,2021-02-11T00:00:00
234,,,,,320,2021-02-12T00:00:00,2021-02-18T00:00:00
233,,,,,321,2021-02-19T00:00:00,2021-02-25T00:00:00
232,,,,,354,2021-02-26T00:00:00,2021-03-04T00:00:00
231,,,,,327,2021-03-05T00:00:00,2021-03-11T00:00:00
230,,,,,346,2021-03-12T00:00:00,2021-03-18T00:00:00
229,,,,,382,2021-03-19T00:00:00,2021-03-25T00:00:00
228,,,,,407,2021-03-26T00:00:00,2021-04-01T00:00:00
227,,,,,426,2021-04-02T00:00:00,2021-04-08T00:00:00
226,,,,,503,2021-04-09T00:00:00,2021-04-15T00:00:00
225,,,,,445,2021-04-16T00:00:00,2021-04-22T00:00:00
224,,,,,470,2021-04-23T00:00:00,2021-04-29T00:00:00
223,,,,,441,2021-04-30T00:00:00,2021-05-06T00:00:00
222,,,,,503,2021-05-07T00:00:00,2021-05-13T00:00:00
221,,,,,639,2021-05-14T00:00:00,2021-05-20T00:00:00
220,,,,,648,2021-05-21T00:00:00,2021-05-27T00:00:00
219,,,,,649,2021-05-28T00:00:00,2021-06-03T00:00:00
218,,,,,646,2021-06-04T00:00:00,2021-06-10T00:00:00
217,,,,,705,2021-06-11T00:00:00,2021-06-17T00:00:00
216,,,,,763,2021-06-18T00:00:00,2021-06-24T00:00:00
215,,,,,792,2021-06-25T00:00:00,2021-07-01T00:00:00
214,,,,,806,2021-07-02T00:00:00,2021-07-08T00:00:00
213,,,,,883,2021-07-09T00:00:00,2021-07-15T00:00:00
212,,,,,796,2021-07-16T00:00:00,2021-07-22T00:00:00
211,,,,,712,2021-07-23T00:00:00,2021-07-29T00:00:00
210,,,,,898,2021-07-30T00:00:00,2021-08-05T00:00:00
209,,,,,577,2021-08-06T00:00:00,2021-08-12T00:00:00
208,,,,,981,2021-08-13T00:00:00,2021-08-19T00:00:00
207,,,,,981,2021-08-20T00:00:00,2021-08-26T00:00:00
206,,,,,1089,2021-08-27T00:00:00,2021-09-02T00:00:00
205,,,,,1086,2021-09-03T00:00:00,2021-09-09T00:00:00
204,,,,,974,2021-09-10T00:00:00,2021-09-16T00:00:00
203,,,,,1302,2021-09-17T00:00:00,2021-09-23T00:00:00
202,,,,,1134,2021-09-24T00:00:00,2021-09-30T00:00:00
201,,,,,995,2021-10-01T00:00:00,2021-10-07T00:00:00
200,,,,,1037,2021-10-08T00:00:00,2021-10-14T00:00:00
199,,,,,895,2021-10-15T00:00:00,2021-10-21T00:00:00
198,,,,,977,2021-10-22T00:00:00,2021-10-28T00:00:00
197,,,,,1083,2021-10-29T00:00:00,2021-11-04T00:00:00
196,,,,,1156,2021-11-05T00:00:00,2021-11-11T00:00:00
195,,,,,1021,2021-11-12T00:00:00,2021-11-18T00:00:00
194,,,,,1018,2021-11-19T00:00:00,2021-11-25T00:00:00
193,,,,,990,2021-11-26T00:00:00,2021-12-02T00:00:00
192,,,,,886,2021-12-03T00:00:00,2021-12-09T00:00:00
191,,,,,949,2021-12-10T00:00:00,2021-12-16T00:00:00
190,,,,,928,2021-12-17T00:00:00,2021-12-23T00:00:00
189,,,,,867,2021-12-24T00:00:00,2021-12-30T00:00:00
188,,,,,880,2021-12-31T00:00:00,2022-01-06T00:00:00
187,,,,,827,2022-01-07T00:00:00,2022-01-13T00:00:00
186,,,,,833,2022-01-14T00:00:00,2022-01-20T00:00:00
185,,,,,847,2022-01-21T00:00:00,2022-01-27T00:00:00
184,,,,,905,2022-01-28T00:00:00,2022-02-03T00:00:00
183,,,,,990,2022-02-04T00:00:00,2022-02-10T00:00:00
182,,,,,780,2022-02-11T00:00:00,2022-02-17T00:00:00
181,,,,,1209,2022-02-18T00:00:00,2022-02-24T00:00:00
180,,,,,1147,2022-02-25T00:00:00,2022-03-03T00:00:00
179,,,,,1160,2022-03-04T00:00:00,2022-03-10T00:00:00
178,,,,,707,2022-03-11T00:00:00,2022-03-17T00:00:00
177,,,,,1089,2022-03-18T00:00:00,2022-03-24T00:00:00
176,,,,,1114,2022-03-25T00:00:00,2022-03-31T00:00:00
175,,,,,1191,2022-04-01T00:00:00,2022-04-07T00:00:00
174,,,,,1118,2022-04-08T00:00:00,2022-04-14T00:00:00
173,,,,,1210,2022-04-15T00:00:00,2022-04-21T00:00:00
172,,,,,1260,2022-04-22T00:00:00,2022-04-28T00:00:00
171,,,,,1102,2022-04-29T00:00:00,2022-05-05T00:00:00
170,,,,,1002,2022-05-06T00:00:00,2022-05-12T00:00:00
169,,,,,919,2022-05-13T00:00:00,2022-05-19T00:00:00
168,,,,,931,2022-05-20T00:00:00,2022-05-26T00:00:00
167,,,,,1018,2022-05-27T00:00:00,2022-06-02T00:00:00
166,,,,,1271,2022-06-03T00:00:00,2022-06-09T00:00:00
165,,,,,1079,2022-06-10T00:00:00,2022-06-16T00:00:00
164,,,,,987,2022-06-17T00:00:00,2022-06-23T00:00:00
163,,,,,1014,2022-06-24T00:00:00,2022-06-30T00:00:00
162,,,,,959,2022-07-01T00:00:00,2022-07-07T00:00:00
161,,,,,1073,2022-07-08T00:00:00,2022-07-14T00:00:00
160,,,,,1032,2022-07-15T00:00:00,2022-07-21T00:00:00
159,,,,,1076,2022-07-22T00:00:00,2022-07-28T00:00:00
158,,,,,1050,2022-07-29T00:00:00,2022-08-04T00:00:00
157,,,,,1091,2022-08-05T00:00:00,2022-08-11T00:00:00
156,,,,,1075,2022-08-12T00:00:00,2022-08-18T00:00:00
155,,,,,699,2022-08-19T00:00:00,2022-08-25T00:00:00
154,,,,,700,2022-08-26T00:00:00,2022-09-01T00:00:00
153,,,,,724,2022-09-02T00:00:00,2022-09-08T00:00:00
152,,,,,520,2022-09-09T00:00:00,2022-09-15T00:00:00
151,,,,,657,2022-09-16T00:00:00,2022-09-22T00:00:00
150,,,,,680,2022-09-23T00:00:00,2022-09-29T00:00:00
149,,,,,682,2022-09-30T00:00:00,2022-10-06T00:00:00
148,,,,,704,2022-10-07T00:00:00,2022-10-13T00:00:00
147,,,,,552,2022-10-14T00:00:00,2022-10-20T00:00:00
146,,,,,610,2022-10-21T00:00:00,2022-10-27T00:00:00
145,,,,,568,2022-10-28T00:00:00,2022-11-03T00:00:00
144,,,,,518,2022-11-04T00:00:00,2022-11-10T00:00:00
143,,,,,659,2022-11-11T00:00:00,2022-11-17T00:00:00
142,,,,,550,2022-11-18T00:00:00,2022-11-24T00:00:00
141,,,,,523,2022-11-25T00:00:00,2022-12-01T00:00:00
140,,,,,463,2022-12-02T00:00:00,2022-12-08T00:00:00
139,,,,,593,2022-12-09T00:00:00,2022-12-15T00:00:00
138,,,,,504,2022-12-16T00:00:00,2022-12-22T00:00:00
137,,,,,480,2022-12-23T00:00:00,2022-12-29T00:00:00
136,,,,,1602,2022-12-30T00:00:00,2023-01-05T00:00:00
135,,,,,2022,2023-01-06T00:00:00,2023-01-12T00:00:00
134,,,,,2173,2023-01-13T00:00:00,2023-01-19T00:00:00
133,,,,,2149,2023-01-20T00:00:00,2023-01-26T00:00:00
132,,,,,2527,2023-01-27T00:00:00,2023-02-02T00:00:00
131,,,,,2314,2023-02-03T00:00:00,2023-02-09T00:00:00
130,,,,,2339,2023-02-10T00:00:00,2023-02-16T00:00:00
129,,,,,2275,2023-02-17T00:00:00,2023-02-23T00:00:00
128,,,,,2446,2023-02-24T00:00:00,2023-03-02T00:00:00
127,,,,,1976,2023-03-03T00:00:00,2023-03-09T00:00:00
126,,,,,1959,2023-03-10T00:00:00,2023-03-16T00:00:00
125,,,,,1880,2023-03-17T00:00:00,2023-03-23T00:00:00
124,,,,,2043,2023-03-24T00:00:00,2023-03-30T00:00:00
123,,,,,1690,2023-03-31T00:00:00,2023-04-06T00:00:00
122,,,,,1858,2023-04-07T00:00:00,2023-04-13T00:00:00
121,,,,,2316,2023-04-14T00:00:00,2023-04-20T00:00:00
120,,,,,2644,2023-04-21T00:00:00,2023-04-27T00:00:00
119,,,,,2617,2023-04-28T00:00:00,2023-05-04T00:00:00
118,,,,,2984,2023-05-05T00:00:00,2023-05-11T00:00:00
117,,,,,2584,2023-05-12T00:00:00,2023-05-18T00:00:00
116,,,,,2876,2023-05-19T00:00:00,2023-05-25T00:00:00
115,,,,,2679,2023-05-26T00:00:00,2023-06-01T00:00:00
