Period_Group,NPS_2025,NPS_2024,NPS_2019,Target,Responses,Min_Date,Max_Date
345,,,30.34206759423257,,86.0,2018-12-31T00:00:00,2019-01-03T00:00:00
344,,,42.66864709318457,,233.0,2019-01-04T00:00:00,2019-01-10T00:00:00
343,,,32.55512085754841,,248.0,2019-01-11T00:00:00,2019-01-17T00:00:00
342,,,44.048368355973984,,461.0,2019-01-18T00:00:00,2019-01-24T00:00:00
341,,,40.97558804331037,,435.0,2019-01-25T00:00:00,2019-01-31T00:00:00
340,,,35.56976727681338,,359.0,2019-02-01T00:00:00,2019-02-07T00:00:00
339,,,36.650056508559594,,386.0,2019-02-08T00:00:00,2019-02-14T00:00:00
338,,,39.79491624328803,,309.0,2019-02-15T00:00:00,2019-02-21T00:00:00
337,,,43.751029590829255,,205.0,2019-02-22T00:00:00,2019-02-28T00:00:00
336,,,11.458346664000011,,225.0,2019-03-01T00:00:00,2019-03-07T00:00:00
335,,,26.160101049964926,,228.0,2019-03-08T00:00:00,2019-03-14T00:00:00
334,,,27.669885125538467,,208.0,2019-03-15T00:00:00,2019-03-21T00:00:00
333,,,29.329314405935488,,186.0,2019-03-22T00:00:00,2019-03-28T00:00:00
332,,,39.5639413485837,,170.0,2019-03-29T00:00:00,2019-04-04T00:00:00
331,,,32.80774425436145,,249.0,2019-04-05T00:00:00,2019-04-11T00:00:00
330,,,22.19101993132673,,303.0,2019-04-12T00:00:00,2019-04-18T00:00:00
329,,,22.891974982584067,,226.0,2019-04-19T00:00:00,2019-04-25T00:00:00
328,,,32.76976977218049,,225.0,2019-04-26T00:00:00,2019-05-02T00:00:00
327,,,26.43179799143365,,226.0,2019-05-03T00:00:00,2019-05-09T00:00:00
326,,,31.928934899294138,,255.0,2019-05-10T00:00:00,2019-05-16T00:00:00
325,,,28.127669373163375,,251.0,2019-05-17T00:00:00,2019-05-23T00:00:00
324,,,46.79763237828573,,224.0,2019-05-24T00:00:00,2019-05-30T00:00:00
323,,,28.968976726146636,,298.0,2019-05-31T00:00:00,2019-06-06T00:00:00
322,,,22.73107393672728,,528.0,2019-06-07T00:00:00,2019-06-13T00:00:00
321,,,27.098971664000004,,512.0,2019-06-14T00:00:00,2019-06-20T00:00:00
320,,,29.961270640608195,,513.0,2019-06-21T00:00:00,2019-06-27T00:00:00
319,,,19.92228837403485,,512.0,2019-06-28T00:00:00,2019-07-04T00:00:00
318,,,23.252908597534763,,331.0,2019-07-05T00:00:00,2019-07-11T00:00:00
317,,,24.312101604711454,,253.0,2019-07-12T00:00:00,2019-07-18T00:00:00
316,,,23.726897900749123,,283.0,2019-07-19T00:00:00,2019-07-25T00:00:00
315,,,16.78274292292765,,213.0,2019-07-26T00:00:00,2019-08-01T00:00:00
314,,,28.984358224693633,,173.0,2019-08-02T00:00:00,2019-08-08T00:00:00
