Period_Group,NPS_2025,NPS_2024,NPS_2019,Target,Responses,Min_Date,Max_Date
345,,,7.958346664,,8.0,2018-12-31T00:00:00,2019-01-03T00:00:00
344,,,21.384272589925924,,27.0,2019-01-04T00:00:00,2019-01-10T00:00:00
343,,,32.19304054155102,,49.0,2019-01-11T00:00:00,2019-01-17T00:00:00
342,,,19.532420738074077,,54.0,2019-01-18T00:00:00,2019-01-24T00:00:00
341,,,33.194195720603766,,53.0,2019-01-25T00:00:00,2019-01-31T00:00:00
340,,,24.405715085052627,,38.0,2019-02-01T00:00:00,2019-02-07T00:00:00
339,,,45.458346664000004,,50.0,2019-02-08T00:00:00,2019-02-14T00:00:00
338,,,42.26685730229787,,47.0,2019-02-15T00:00:00,2019-02-21T00:00:00
337,,,21.928934899294113,,34.0,2019-02-22T00:00:00,2019-02-28T00:00:00
336,,,34.74406094971428,,28.0,2019-03-01T00:00:00,2019-03-07T00:00:00
335,,,43.73420873296552,,29.0,2019-03-08T00:00:00,2019-03-14T00:00:00
334,,,56.74866924464516,,31.0,2019-03-15T00:00:00,2019-03-21T00:00:00
333,,,51.708346664,,32.0,2019-03-22T00:00:00,2019-03-28T00:00:00
332,,,26.9040439527763,,35.0,2019-03-29T00:00:00,2019-04-04T00:00:00
331,,,27.811287840470595,,34.0,2019-04-05T00:00:00,2019-04-11T00:00:00
330,,,31.56945777511111,,36.0,2019-04-12T00:00:00,2019-04-18T00:00:00
329,,,18.038991825290324,,31.0,2019-04-19T00:00:00,2019-04-25T00:00:00
328,,,22.075851305709385,,26.0,2019-04-26T00:00:00,2019-05-02T00:00:00
327,,,42.12501333066665,,45.0,2019-05-03T00:00:00,2019-05-09T00:00:00
326,,,34.74406094971428,,28.0,2019-05-10T00:00:00,2019-05-16T00:00:00
325,,,19.94814258236735,,49.0,2019-05-17T00:00:00,2019-05-23T00:00:00
324,,,32.667648989581394,,43.0,2019-05-24T00:00:00,2019-05-30T00:00:00
