Period_Group,NPS_2025,NPS_2024,NPS_2019,Target,Responses,Min_Date,Max_Date
345,,,19.62501333066669,,120,2018-12-31T00:00:00,2019-01-03T00:00:00
344,,,3.1506543563076965,,260,2019-01-04T00:00:00,2019-01-10T00:00:00
343,,,16.3052522014593,,307,2019-01-11T00:00:00,2019-01-17T00:00:00
342,,,22.545229117151603,,587,2019-01-18T00:00:00,2019-01-24T00:00:00
341,,,29.544975665883246,,531,2019-01-25T00:00:00,2019-01-31T00:00:00
340,,,26.502302707956026,,364,2019-02-01T00:00:00,2019-02-07T00:00:00
339,,,22.282380998763934,,466,2019-02-08T00:00:00,2019-02-14T00:00:00
338,,,24.101562744402,,398,2019-02-15T00:00:00,2019-02-21T00:00:00
337,,,21.320415629517257,,290,2019-02-22T00:00:00,2019-02-28T00:00:00
336,,,13.78132803045963,,322,2019-03-01T00:00:00,2019-03-07T00:00:00
335,,,24.26629368386755,,302,2019-03-08T00:00:00,2019-03-14T00:00:00
334,,,28.69187959813173,,334,2019-03-15T00:00:00,2019-03-21T00:00:00
333,,,25.0358114527324,,284,2019-03-22T00:00:00,2019-03-28T00:00:00
332,,,29.951726727458954,,258,2019-03-29T00:00:00,2019-04-04T00:00:00
331,,,32.078064973859135,,355,2019-04-05T00:00:00,2019-04-11T00:00:00
330,,,9.850406217349853,,403,2019-04-12T00:00:00,2019-04-18T00:00:00
329,,,21.911835036093,,344,2019-04-19T00:00:00,2019-04-25T00:00:00
328,,,17.088637877283848,,323,2019-04-26T00:00:00,2019-05-02T00:00:00
327,,,17.010070801931032,,348,2019-05-03T00:00:00,2019-05-09T00:00:00
326,,,25.48445632457442,,383,2019-05-10T00:00:00,2019-05-16T00:00:00
325,,,23.993051034179945,,389,2019-05-17T00:00:00,2019-05-23T00:00:00
324,,,15.57496473980175,,343,2019-05-24T00:00:00,2019-05-30T00:00:00
323,,,11.853859328438489,,436,2019-05-31T00:00:00,2019-06-06T00:00:00
322,,,23.16919003749398,,747,2019-06-07T00:00:00,2019-06-13T00:00:00
321,,,19.936788944945754,,719,2019-06-14T00:00:00,2019-06-20T00:00:00
320,,,15.130477811540988,,671,2019-06-21T00:00:00,2019-06-27T00:00:00
319,,,8.257695978484126,,684,2019-06-28T00:00:00,2019-07-04T00:00:00
318,,,20.20061470523711,,388,2019-07-05T00:00:00,2019-07-11T00:00:00
317,,,15.195188769263162,,304,2019-07-12T00:00:00,2019-07-18T00:00:00
316,,,26.605887647606547,,366,2019-07-19T00:00:00,2019-07-25T00:00:00
315,,,13.986603128864868,,273,2019-07-26T00:00:00,2019-08-01T00:00:00
314,,,20.817198338641152,,209,2019-08-02T00:00:00,2019-08-08T00:00:00
313,,,23.524874730528065,,481,2019-08-09T00:00:00,2019-08-15T00:00:00
312,,,27.983599189252526,,495,2019-08-16T00:00:00,2019-08-22T00:00:00
311,,,14.326271192301885,,583,2019-08-23T00:00:00,2019-08-29T00:00:00
310,,,22.315862559698754,,737,2019-08-30T00:00:00,2019-09-05T00:00:00
309,,,17.462954958930947,,868,2019-09-06T00:00:00,2019-09-12T00:00:00
308,,,20.987758428705963,,850,2019-09-13T00:00:00,2019-09-19T00:00:00
307,,,29.833346664000086,,768,2019-09-20T00:00:00,2019-09-26T00:00:00
306,,,28.74240689155015,,529,2019-09-27T00:00:00,2019-10-03T00:00:00
305,,,28.695340883653106,,692,2019-10-04T00:00:00,2019-10-10T00:00:00
304,,,28.404645648034762,,689,2019-10-11T00:00:00,2019-10-17T00:00:00
303,,,24.93365530597526,,648,2019-10-18T00:00:00,2019-10-24T00:00:00
302,,,25.6871048339346,,612,2019-10-25T00:00:00,2019-10-31T00:00:00
301,,,22.714331931034984,,543,2019-11-01T00:00:00,2019-11-07T00:00:00
300,,,31.744547686146493,,587,2019-11-08T00:00:00,2019-11-14T00:00:00
299,,,21.508766832067217,,595,2019-11-15T00:00:00,2019-11-21T00:00:00
298,,,20.724304110808504,,752,2019-11-22T00:00:00,2019-11-28T00:00:00
297,,,22.285743313843973,,612,2019-11-29T00:00:00,2019-12-05T00:00:00
296,,,26.941434221603643,,651,2019-12-06T00:00:00,2019-12-12T00:00:00
295,,,3.5044766492289376,,677,2019-12-13T00:00:00,2019-12-19T00:00:00
294,,,9.43572836747002,,634,2019-12-20T00:00:00,2019-12-26T00:00:00
293,,,26.22385686808158,,628,2019-12-27T00:00:00,2020-01-02T00:00:00
292,,,,,664,2020-01-03T00:00:00,2020-01-09T00:00:00
291,,,,,625,2020-01-10T00:00:00,2020-01-16T00:00:00
