Period_Group,NPS_2025,NPS_2024,NPS_2019,Target,Responses,Min_Date,Max_Date
345,,,31.229393198076156,,339,2018-12-31T00:00:00,2019-01-03T00:00:00
344,,,31.001403291377724,,919,2019-01-04T00:00:00,2019-01-10T00:00:00
343,,,27.971808415420544,,1027,2019-01-11T00:00:00,2019-01-17T00:00:00
342,,,33.4562750009063,,1651,2019-01-18T00:00:00,2019-01-24T00:00:00
341,,,30.057325294076247,,1667,2019-01-25T00:00:00,2019-01-31T00:00:00
340,,,33.971226544119716,,1296,2019-02-01T00:00:00,2019-02-07T00:00:00
339,,,32.02077963967684,,1451,2019-02-08T00:00:00,2019-02-14T00:00:00
338,,,31.343680617907427,,1171,2019-02-15T00:00:00,2019-02-21T00:00:00
337,,,31.447435487801204,,799,2019-02-22T00:00:00,2019-02-28T00:00:00
336,,,9.015672342231337,,785,2019-03-01T00:00:00,2019-03-07T00:00:00
335,,,24.310095024367964,,866,2019-03-08T00:00:00,2019-03-14T00:00:00
334,,,21.26269491798365,,821,2019-03-15T00:00:00,2019-03-21T00:00:00
333,,,26.591824250611104,,755,2019-03-22T00:00:00,2019-03-28T00:00:00
332,,,24.913566106798907,,634,2019-03-29T00:00:00,2019-04-04T00:00:00
331,,,26.04682627550601,,838,2019-04-05T00:00:00,2019-04-11T00:00:00
330,,,24.413569389659727,,971,2019-04-12T00:00:00,2019-04-18T00:00:00
329,,,24.60894849156364,,777,2019-04-19T00:00:00,2019-04-25T00:00:00
328,,,30.70015900572152,,729,2019-04-26T00:00:00,2019-05-02T00:00:00
327,,,20.76508910156704,,805,2019-05-03T00:00:00,2019-05-09T00:00:00
326,,,31.922259909852745,,826,2019-05-10T00:00:00,2019-05-16T00:00:00
325,,,26.38470413631519,,820,2019-05-17T00:00:00,2019-05-23T00:00:00
324,,,32.97151858457175,,715,2019-05-24T00:00:00,2019-05-30T00:00:00
323,,,20.47077091940893,,964,2019-05-31T00:00:00,2019-06-06T00:00:00
322,,,19.577984072208423,,1703,2019-06-07T00:00:00,2019-06-13T00:00:00
321,,,20.910816567729082,,1661,2019-06-14T00:00:00,2019-06-20T00:00:00
320,,,21.9780554429158,,1603,2019-06-21T00:00:00,2019-06-27T00:00:00
319,,,13.79383402997857,,1607,2019-06-28T00:00:00,2019-07-04T00:00:00
318,,,21.645609940775632,,1055,2019-07-05T00:00:00,2019-07-11T00:00:00
317,,,21.845640587707955,,774,2019-07-12T00:00:00,2019-07-18T00:00:00
316,,,24.86620614064807,,819,2019-07-19T00:00:00,2019-07-25T00:00:00
315,,,21.06832823798957,,717,2019-07-26T00:00:00,2019-08-01T00:00:00
314,,,23.18103338999962,,595,2019-08-02T00:00:00,2019-08-08T00:00:00
313,,,30.60283087639176,,1013,2019-08-09T00:00:00,2019-08-15T00:00:00
312,,,33.8735696846428,,971,2019-08-16T00:00:00,2019-08-22T00:00:00
311,,,25.922200412696444,,1162,2019-08-23T00:00:00,2019-08-29T00:00:00
310,,,23.020710571219333,,2225,2019-08-30T00:00:00,2019-09-05T00:00:00
309,,,29.687992496360156,,2531,2019-09-06T00:00:00,2019-09-12T00:00:00
308,,,20.837956547848346,,2400,2019-09-13T00:00:00,2019-09-19T00:00:00
307,,,28.509066072603968,,2109,2019-09-20T00:00:00,2019-09-26T00:00:00
306,,,32.62004885169524,,1643,2019-09-27T00:00:00,2019-10-03T00:00:00
305,,,35.60246588354159,,2112,2019-10-04T00:00:00,2019-10-10T00:00:00
304,,,30.50600531397959,,1894,2019-10-11T00:00:00,2019-10-17T00:00:00
303,,,33.47302832306915,,1781,2019-10-18T00:00:00,2019-10-24T00:00:00
302,,,33.144444295619145,,1917,2019-10-25T00:00:00,2019-10-31T00:00:00
301,,,25.624317442325573,,1632,2019-11-01T00:00:00,2019-11-07T00:00:00
300,,,32.28887005667975,,1970,2019-11-08T00:00:00,2019-11-14T00:00:00
299,,,33.20566128391219,,2328,2019-11-15T00:00:00,2019-11-21T00:00:00
