Period_Group,NPS_2025,NPS_2024,NPS_2019,Target,Responses,Min_Date,Max_Date
345,,,27.811287840470587,,34,2018-12-31T00:00:00,2019-01-03T00:00:00
344,,,38.87939929557894,,76,2019-01-04T00:00:00,2019-01-10T00:00:00
343,,,42.333346664,,64,2019-01-11T00:00:00,2019-01-17T00:00:00
342,,,37.350238555891885,,74,2019-01-18T00:00:00,2019-01-24T00:00:00
341,,,42.77977523542858,,112,2019-01-25T00:00:00,2019-01-31T00:00:00
340,,,49.62501333066666,,72,2019-02-01T00:00:00,2019-02-07T00:00:00
339,,,41.291679997333326,,96,2019-02-08T00:00:00,2019-02-14T00:00:00
338,,,45.45834666399998,,76,2019-02-15T00:00:00,2019-02-21T00:00:00
337,,,62.125013330666654,,48,2019-02-22T00:00:00,2019-02-28T00:00:00
336,,,18.987758428705877,,51,2019-03-01T00:00:00,2019-03-07T00:00:00
335,,,43.98775842870589,,68,2019-03-08T00:00:00,2019-03-14T00:00:00
334,,,38.87939929557895,,76,2019-03-15T00:00:00,2019-03-21T00:00:00
333,,,62.12501333066668,,54,2019-03-22T00:00:00,2019-03-28T00:00:00
332,,,31.7534679804609,,49,2019-03-29T00:00:00,2019-04-04T00:00:00
331,,,46.80969801535135,,37,2019-04-05T00:00:00,2019-04-11T00:00:00
330,,,30.30683151248485,,66,2019-04-12T00:00:00,2019-04-18T00:00:00
329,,,43.79167999733332,,60,2019-04-19T00:00:00,2019-04-25T00:00:00
328,,,31.29080334238034,,53,2019-04-26T00:00:00,2019-05-02T00:00:00
327,,,47.958346664,,40,2019-05-03T00:00:00,2019-05-09T00:00:00
326,,,53.522862793032246,,62,2019-05-10T00:00:00,2019-05-16T00:00:00
325,,,50.77749560017021,,47,2019-05-17T00:00:00,2019-05-23T00:00:00
324,,,49.30450051015384,,52,2019-05-24T00:00:00,2019-05-30T00:00:00
323,,,33.5706901505277,,59,2019-05-31T00:00:00,2019-06-06T00:00:00
322,,,25.934537140190486,,105,2019-06-07T00:00:00,2019-06-13T00:00:00
321,,,31.821983027636353,,110,2019-06-14T00:00:00,2019-06-20T00:00:00
320,,,16.697284717097343,,113,2019-06-21T00:00:00,2019-06-27T00:00:00
319,,,17.51660676554987,,116,2019-06-28T00:00:00,2019-07-04T00:00:00
318,,,38.93660753356521,,69,2019-07-05T00:00:00,2019-07-11T00:00:00
317,,,20.01975017277193,,57,2019-07-12T00:00:00,2019-07-18T00:00:00
316,,,42.628157984754715,,53,2019-07-19T00:00:00,2019-07-25T00:00:00
315,,,36.30446752393402,,64,2019-07-26T00:00:00,2019-08-01T00:00:00
314,,,30.458346664000008,,60,2019-08-02T00:00:00,2019-08-08T00:00:00
313,,,36.634817252235294,,68,2019-08-09T00:00:00,2019-08-15T00:00:00
312,,,33.791679997333326,,60,2019-08-16T00:00:00,2019-08-22T00:00:00
311,,,49.74406094971429,,70,2019-08-23T00:00:00,2019-08-29T00:00:00
310,,,30.565778126910125,,161,2019-08-30T00:00:00,2019-09-05T00:00:00
309,,,41.64882285447618,,210,2019-09-06T00:00:00,2019-09-12T00:00:00
308,,,25.27201126027329,,161,2019-09-13T00:00:00,2019-09-19T00:00:00
307,,,33.652791108444454,,144,2019-09-20T00:00:00,2019-09-26T00:00:00
306,,,44.13358143216992,,109,2019-09-27T00:00:00,2019-10-03T00:00:00
305,,,41.72700338041792,,134,2019-10-04T00:00:00,2019-10-10T00:00:00
304,,,50.24095535965218,,115,2019-10-11T00:00:00,2019-10-17T00:00:00
303,,,39.602490808144154,,111,2019-10-18T00:00:00,2019-10-24T00:00:00
302,,,48.39952313458825,,119,2019-10-25T00:00:00,2019-10-31T00:00:00
301,,,45.900824540106186,,113,2019-11-01T00:00:00,2019-11-07T00:00:00
300,,,41.046581958117656,,136,2019-11-08T00:00:00,2019-11-14T00:00:00
299,,,49.20834666400001,,160,2019-11-15T00:00:00,2019-11-21T00:00:00
298,,,42.478214213668856,,151,2019-11-22T00:00:00,2019-11-28T00:00:00
297,,,30.917630913524278,,153,2019-11-29T00:00:00,2019-12-05T00:00:00
296,,,32.83296204861538,,130,2019-12-06T00:00:00,2019-12-12T00:00:00
295,,,25.067394283047605,,105,2019-12-13T00:00:00,2019-12-19T00:00:00
294,,,20.73601789687671,,146,2019-12-20T00:00:00,2019-12-26T00:00:00
293,,,38.87691809257142,,109,2019-12-27T00:00:00,2020-01-02T00:00:00
292,,,,,151,2020-01-03T00:00:00,2020-01-09T00:00:00
291,,,,,89,2020-01-10T00:00:00,2020-01-16T00:00:00
290,,,,,83,2020-01-17T00:00:00,2020-01-23T00:00:00
289,,,,,72,2020-01-24T00:00:00,2020-01-30T00:00:00
288,,,,,70,2020-01-31T00:00:00,2020-02-06T00:00:00
287,,,,,108,2020-02-07T00:00:00,2020-02-13T00:00:00
286,,,,,56,2020-02-14T00:00:00,2020-02-20T00:00:00
285,,,,,175,2020-02-21T00:00:00,2020-02-27T00:00:00
284,,,,,135,2020-02-28T00:00:00,2020-03-05T00:00:00
283,,,,,99,2020-03-06T00:00:00,2020-03-12T00:00:00
282,,,,,46,2020-03-13T00:00:00,2020-03-19T00:00:00
281,,,,,17,2020-03-20T00:00:00,2020-03-26T00:00:00
280,,,,,5,2020-03-27T00:00:00,2020-04-02T00:00:00
279,,,,,8,2020-04-03T00:00:00,2020-04-09T00:00:00
278,,,,,4,2020-04-10T00:00:00,2020-04-16T00:00:00
277,,,,,1,2020-04-17T00:00:00,2020-04-23T00:00:00
276,,,,,5,2020-04-24T00:00:00,2020-04-30T00:00:00
275,,,,,3,2020-05-01T00:00:00,2020-05-07T00:00:00
274,,,,,7,2020-05-08T00:00:00,2020-05-14T00:00:00
273,,,,,7,2020-05-15T00:00:00,2020-05-21T00:00:00
272,,,,,6,2020-05-22T00:00:00,2020-05-28T00:00:00
271,,,,,13,2020-05-29T00:00:00,2020-06-04T00:00:00
270,,,,,7,2020-06-05T00:00:00,2020-06-11T00:00:00
269,,,,,2,2020-06-12T00:00:00,2020-06-18T00:00:00
268,,,,,5,2020-06-19T00:00:00,2020-06-25T00:00:00
267,,,,,42,2020-06-26T00:00:00,2020-07-02T00:00:00
266,,,,,94,2020-07-03T00:00:00,2020-07-09T00:00:00
265,,,,,81,2020-07-10T00:00:00,2020-07-16T00:00:00
264,,,,,94,2020-07-17T00:00:00,2020-07-23T00:00:00
263,,,,,66,2020-07-24T00:00:00,2020-07-30T00:00:00
262,,,,,84,2020-07-31T00:00:00,2020-08-06T00:00:00
261,,,,,39,2020-08-07T00:00:00,2020-08-13T00:00:00
