Period_Group,NPS_2025,NPS_2024,NPS_2019,Target,Responses,Min_Date,Max_Date
2412,,,,,,2018-12-31T00:00:00,2018-12-31T00:00:00
2411,,,35.458346664000004,,5.0,2019-01-01T00:00:00,2019-01-01T00:00:00
2410,,,18.535269740923077,,13.0,2019-01-02T00:00:00,2019-01-02T00:00:00
2409,,,32.95834666399999,,16.0,2019-01-03T00:00:00,2019-01-03T00:00:00
2408,,,59.09471030036363,,11.0,2019-01-04T00:00:00,2019-01-04T00:00:00
2407,,,62.12501333066667,,9.0,2019-01-05T00:00:00,2019-01-05T00:00:00
2406,,,28.791679997333336,,9.0,2019-01-06T00:00:00,2019-01-06T00:00:00
2405,,,8.791679997333329,,15.0,2019-01-07T00:00:00,2019-01-07T00:00:00
2404,,,40.91289211854544,,11.0,2019-01-08T00:00:00,2019-01-08T00:00:00
2403,,,45.458346664,,16.0,2019-01-09T00:00:00,2019-01-09T00:00:00
2402,,,35.458346664000004,,5.0,2019-01-10T00:00:00,2019-01-10T00:00:00
2401,,,59.09471030036363,,11.0,2019-01-11T00:00:00,2019-01-11T00:00:00
2400,,,45.458346664000004,,4.0,2019-01-12T00:00:00,2019-01-12T00:00:00
2399,,,32.958346664,,8.0,2019-01-13T00:00:00,2019-01-13T00:00:00
2398,,,28.791679997333336,,9.0,2019-01-14T00:00:00,2019-01-14T00:00:00
2397,,,48.791679997333326,,15.0,2019-01-15T00:00:00,2019-01-15T00:00:00
2396,,,9.744060949714285,,7.0,2019-01-16T00:00:00,2019-01-16T00:00:00
2395,,,55.458346664,,10.0,2019-01-17T00:00:00,2019-01-17T00:00:00
2394,,,49.30450051015384,,13.0,2019-01-18T00:00:00,2019-01-18T00:00:00
2393,,,24.029775235428573,,7.0,2019-01-19T00:00:00,2019-01-19T00:00:00
2392,,,-4.541653336,,2.0,2019-01-20T00:00:00,2019-01-20T00:00:00
2391,,,25.458346664,,10.0,2019-01-21T00:00:00,2019-01-21T00:00:00
2390,,,62.125013330666654,,12.0,2019-01-22T00:00:00,2019-01-22T00:00:00
2389,,,28.79167999733333,,15.0,2019-01-23T00:00:00,2019-01-23T00:00:00
2388,,,35.45834666399999,,15.0,2019-01-24T00:00:00,2019-01-24T00:00:00
2387,,,38.315489521142865,,21.0,2019-01-25T00:00:00,2019-01-25T00:00:00
2386,,,45.458346664,,8.0,2019-01-26T00:00:00,2019-01-26T00:00:00
2385,,,55.458346664000004,,20.0,2019-01-27T00:00:00,2019-01-27T00:00:00
2384,,,60.67573796834785,,23.0,2019-01-28T00:00:00,2019-01-28T00:00:00
2383,,,13.10540548752941,,17.0,2019-01-29T00:00:00,2019-01-29T00:00:00
2382,,,38.31548952114285,,14.0,2019-01-30T00:00:00,2019-01-30T00:00:00
2381,,,39.90279110844444,,9.0,2019-01-31T00:00:00,2019-01-31T00:00:00
2380,,,45.45834666399998,,16.0,2019-02-01T00:00:00,2019-02-01T00:00:00
2379,,,28.79167999733333,,3.0,2019-02-02T00:00:00,2019-02-02T00:00:00
2378,,,-4.541653336,,5.0,2019-02-03T00:00:00,2019-02-03T00:00:00
2377,,,59.09471030036364,,11.0,2019-02-04T00:00:00,2019-02-04T00:00:00
2376,,,50.00380120945455,,11.0,2019-02-05T00:00:00,2019-02-05T00:00:00
2375,,,45.458346664,,10.0,2019-02-06T00:00:00,2019-02-06T00:00:00
2374,,,70.45834666399999,,16.0,2019-02-07T00:00:00,2019-02-07T00:00:00
2373,,,34.347235552888876,,18.0,2019-02-08T00:00:00,2019-02-08T00:00:00
2372,,,32.958346664000004,,8.0,2019-02-09T00:00:00,2019-02-09T00:00:00
