Period_Group,NPS_2025,NPS_2024,NPS_2019,Target,Responses,Min_Date,Max_Date
2412,,,,,,2018-12-31T00:00:00,2018-12-31T00:00:00
2411,,,39.27688247339965,,140.0,2019-01-01T00:00:00,2019-01-01T00:00:00
2410,,,21.988085702328124,,193.0,2019-01-02T00:00:00,2019-01-02T00:00:00
2409,,,26.090941305851537,,155.0,2019-01-03T00:00:00,2019-01-03T00:00:00
2408,,,25.398201426307626,,157.0,2019-01-04T00:00:00,2019-01-04T00:00:00
2407,,,23.272398508015147,,139.0,2019-01-05T00:00:00,2019-01-05T00:00:00
2406,,,16.842713844922713,,150.0,2019-01-06T00:00:00,2019-01-06T00:00:00
2405,,,21.265626089942806,,183.0,2019-01-07T00:00:00,2019-01-07T00:00:00
2404,,,31.688863929070845,,193.0,2019-01-08T00:00:00,2019-01-08T00:00:00
2403,,,27.285144722255758,,240.0,2019-01-09T00:00:00,2019-01-09T00:00:00
2402,,,27.821386359970642,,206.0,2019-01-10T00:00:00,2019-01-10T00:00:00
2401,,,27.476727796903614,,222.0,2019-01-11T00:00:00,2019-01-11T00:00:00
2400,,,26.491357497814512,,128.0,2019-01-12T00:00:00,2019-01-12T00:00:00
2399,,,19.91661481272743,,174.0,2019-01-13T00:00:00,2019-01-13T00:00:00
2398,,,18.959409098277533,,247.0,2019-01-14T00:00:00,2019-01-14T00:00:00
2397,,,33.87280531552149,,231.0,2019-01-15T00:00:00,2019-01-15T00:00:00
2396,,,22.114684360257364,,232.0,2019-01-16T00:00:00,2019-01-16T00:00:00
2395,,,32.974241621112725,,243.0,2019-01-17T00:00:00,2019-01-17T00:00:00
2394,,,32.86683896589312,,470.0,2019-01-18T00:00:00,2019-01-18T00:00:00
2393,,,35.71023115399126,,307.0,2019-01-19T00:00:00,2019-01-19T00:00:00
2392,,,32.26188212699096,,326.0,2019-01-20T00:00:00,2019-01-20T00:00:00
2391,,,27.842198367678147,,241.0,2019-01-21T00:00:00,2019-01-21T00:00:00
2390,,,25.67693446195282,,356.0,2019-01-22T00:00:00,2019-01-22T00:00:00
2389,,,34.90775316657653,,431.0,2019-01-23T00:00:00,2019-01-23T00:00:00
2388,,,22.67334481551847,,265.0,2019-01-24T00:00:00,2019-01-24T00:00:00
2387,,,31.897783889759626,,429.0,2019-01-25T00:00:00,2019-01-25T00:00:00
2386,,,37.718262243117465,,278.0,2019-01-26T00:00:00,2019-01-26T00:00:00
2385,,,34.72750437303009,,285.0,2019-01-27T00:00:00,2019-01-27T00:00:00
2384,,,30.273595462994383,,398.0,2019-01-28T00:00:00,2019-01-28T00:00:00
2383,,,28.84386900589296,,357.0,2019-01-29T00:00:00,2019-01-29T00:00:00
2382,,,26.67657291692427,,332.0,2019-01-30T00:00:00,2019-01-30T00:00:00
2381,,,21.734594738723448,,274.0,2019-01-31T00:00:00,2019-01-31T00:00:00
2380,,,26.98670808202123,,279.0,2019-02-01T00:00:00,2019-02-01T00:00:00
2379,,,29.5967847801375,,168.0,2019-02-02T00:00:00,2019-02-02T00:00:00
2378,,,21.67133950060476,,73.0,2019-02-03T00:00:00,2019-02-03T00:00:00
2377,,,25.33086531205122,,243.0,2019-02-04T00:00:00,2019-02-04T00:00:00
2376,,,31.365915799329304,,216.0,2019-02-05T00:00:00,2019-02-05T00:00:00
2375,,,33.33501787555016,,364.0,2019-02-06T00:00:00,2019-02-06T00:00:00
2374,,,42.17223232531679,,454.0,2019-02-07T00:00:00,2019-02-07T00:00:00
2373,,,29.830816566324383,,379.0,2019-02-08T00:00:00,2019-02-08T00:00:00
2372,,,32.52969649361802,,173.0,2019-02-09T00:00:00,2019-02-09T00:00:00
2371,,,34.30731760766394,,206.0,2019-02-10T00:00:00,2019-02-10T00:00:00
2370,,,31.334270033385888,,303.0,2019-02-11T00:00:00,2019-02-11T00:00:00
2369,,,33.986006418906776,,360.0,2019-02-12T00:00:00,2019-02-12T00:00:00
2368,,,24.80595725787545,,279.0,2019-02-13T00:00:00,2019-02-13T00:00:00
2367,,,29.993441334500776,,404.0,2019-02-14T00:00:00,2019-02-14T00:00:00
2366,,,30.282698710287338,,420.0,2019-02-15T00:00:00,2019-02-15T00:00:00
2365,,,25.560958041740655,,287.0,2019-02-16T00:00:00,2019-02-16T00:00:00
2364,,,23.611076250637232,,263.0,2019-02-17T00:00:00,2019-02-17T00:00:00
2363,,,36.50687804800714,,188.0,2019-02-18T00:00:00,2019-02-18T00:00:00
2362,,,30.362657684258654,,159.0,2019-02-19T00:00:00,2019-02-19T00:00:00
2361,,,35.79652575000121,,180.0,2019-02-20T00:00:00,2019-02-20T00:00:00
2360,,,33.932322738689756,,211.0,2019-02-21T00:00:00,2019-02-21T00:00:00
2359,,,24.693054753254803,,189.0,2019-02-22T00:00:00,2019-02-22T00:00:00
2358,,,37.603253610517946,,94.0,2019-02-23T00:00:00,2019-02-23T00:00:00
2357,,,35.08814629351287,,137.0,2019-02-24T00:00:00,2019-02-24T00:00:00
2356,,,37.18307377204873,,168.0,2019-02-25T00:00:00,2019-02-25T00:00:00
