Period_Group,NPS_2025,NPS_2024,NPS_2019,Target,Responses,Min_Date,Max_Date
2412,,,,,,2018-12-31T00:00:00,2018-12-31T00:00:00
2411,,,45.458346664000004,,4.0,2019-01-01T00:00:00,2019-01-01T00:00:00
2410,,,22.73107393672727,,11.0,2019-01-02T00:00:00,2019-01-02T00:00:00
2409,,,41.61219281784615,,13.0,2019-01-03T00:00:00,2019-01-03T00:00:00
2408,,,55.458346664,,10.0,2019-01-04T00:00:00,2019-01-04T00:00:00
2407,,,57.95834666399999,,8.0,2019-01-05T00:00:00,2019-01-05T00:00:00
2406,,,28.791679997333336,,9.0,2019-01-06T00:00:00,2019-01-06T00:00:00
2405,,,10.84296204861538,,13.0,2019-01-07T00:00:00,2019-01-07T00:00:00
2404,,,35.458346664,,5.0,2019-01-08T00:00:00,2019-01-08T00:00:00
2403,,,38.31548952114285,,14.0,2019-01-09T00:00:00,2019-01-09T00:00:00
2402,,,35.458346664000004,,5.0,2019-01-10T00:00:00,2019-01-10T00:00:00
2401,,,70.458346664,,8.0,2019-01-11T00:00:00,2019-01-11T00:00:00
2400,,,-4.541653336,,2.0,2019-01-12T00:00:00,2019-01-12T00:00:00
2399,,,62.125013330666654,,6.0,2019-01-13T00:00:00,2019-01-13T00:00:00
2398,,,38.31548952114286,,7.0,2019-01-14T00:00:00,2019-01-14T00:00:00
2397,,,37.125013330666654,,12.0,2019-01-15T00:00:00,2019-01-15T00:00:00
2396,,,9.744060949714285,,7.0,2019-01-16T00:00:00,2019-01-16T00:00:00
2395,,,73.23612444177778,,9.0,2019-01-17T00:00:00,2019-01-17T00:00:00
2394,,,70.458346664,,8.0,2019-01-18T00:00:00,2019-01-18T00:00:00
2393,,,45.458346664000004,,6.0,2019-01-19T00:00:00,2019-01-19T00:00:00
2392,,,-4.541653336,,2.0,2019-01-20T00:00:00,2019-01-20T00:00:00
2391,,,38.31548952114286,,7.0,2019-01-21T00:00:00,2019-01-21T00:00:00
2390,,,77.27652848218182,,11.0,2019-01-22T00:00:00,2019-01-22T00:00:00
2389,,,20.458346664,,12.0,2019-01-23T00:00:00,2019-01-23T00:00:00
2388,,,49.30450051015384,,13.0,2019-01-24T00:00:00,2019-01-24T00:00:00
2387,,,30.75246431105882,,17.0,2019-01-25T00:00:00,2019-01-25T00:00:00
2386,,,62.125013330666654,,6.0,2019-01-26T00:00:00,2019-01-26T00:00:00
2385,,,53.35308350610527,,19.0,2019-01-27T00:00:00,2019-01-27T00:00:00
2384,,,57.36310856876192,,21.0,2019-01-28T00:00:00,2019-01-28T00:00:00
2383,,,6.5694577751111085,,9.0,2019-01-29T00:00:00,2019-01-29T00:00:00
2382,,,45.458346664,,12.0,2019-01-30T00:00:00,2019-01-30T00:00:00
2381,,,24.02977523542857,,7.0,2019-01-31T00:00:00,2019-01-31T00:00:00
2380,,,62.12501333066667,,12.0,2019-02-01T00:00:00,2019-02-01T00:00:00
2379,,,28.79167999733333,,3.0,2019-02-02T00:00:00,2019-02-02T00:00:00
2378,,,-4.541653336,,4.0,2019-02-03T00:00:00,2019-02-03T00:00:00
2377,,,51.01390221955555,,9.0,2019-02-04T00:00:00,2019-02-04T00:00:00
2376,,,45.458346664000004,,10.0,2019-02-05T00:00:00,2019-02-05T00:00:00
2375,,,51.01390221955555,,9.0,2019-02-06T00:00:00,2019-02-06T00:00:00
2374,,,64.68911589476923,,13.0,2019-02-07T00:00:00,2019-02-07T00:00:00
2373,,,48.791679997333326,,15.0,2019-02-08T00:00:00,2019-02-08T00:00:00
2372,,,28.791679997333343,,6.0,2019-02-09T00:00:00,2019-02-09T00:00:00
2371,,,35.458346664,,5.0,2019-02-10T00:00:00,2019-02-10T00:00:00
2370,,,53.79167999733333,,12.0,2019-02-11T00:00:00,2019-02-11T00:00:00
