Period_Group,NPS_2025,NPS_2024,NPS_2019,Target,Responses,Min_Date,Max_Date
2412,,,,,,2018-12-31T00:00:00,2018-12-31T00:00:00
2411,,,48.288535343245314,,53.0,2019-01-01T00:00:00,2019-01-01T00:00:00
2410,,,22.93087413652746,,91.0,2019-01-02T00:00:00,2019-01-02T00:00:00
2409,,,31.45834666400002,,75.0,2019-01-03T00:00:00,2019-01-03T00:00:00
2408,,,30.59348179913516,,74.0,2019-01-04T00:00:00,2019-01-04T00:00:00
2407,,,37.39383053496776,,62.0,2019-01-05T00:00:00,2019-01-05T00:00:00
2406,,,28.791679997333357,,60.0,2019-01-06T00:00:00,2019-01-06T00:00:00
2405,,,18.077394283047607,,84.0,2019-01-07T00:00:00,2019-01-07T00:00:00
2404,,,29.42061081494339,,106.0,2019-01-08T00:00:00,2019-01-08T00:00:00
2403,,,19.56548952114284,,112.0,2019-01-09T00:00:00,2019-01-09T00:00:00
2402,,,23.13691809257142,,112.0,2019-01-10T00:00:00,2019-01-10T00:00:00
2401,,,22.182484595034467,,116.0,2019-01-11T00:00:00,2019-01-11T00:00:00
2400,,,25.617076822730187,,63.0,2019-01-12T00:00:00,2019-01-12T00:00:00
2399,,,16.88691809257143,,70.0,2019-01-13T00:00:00,2019-01-13T00:00:00
2398,,,16.148001836413783,,116.0,2019-01-14T00:00:00,2019-01-14T00:00:00
2397,,,35.11351907779309,,116.0,2019-01-15T00:00:00,2019-01-15T00:00:00
2396,,,19.14255719031578,,114.0,2019-01-16T00:00:00,2019-01-16T00:00:00
2395,,,38.791679997333326,,120.0,2019-01-17T00:00:00,2019-01-17T00:00:00
2394,,,29.912128176604934,,238.0,2019-01-18T00:00:00,2019-01-18T00:00:00
2393,,,37.1974770987826,,115.0,2019-01-19T00:00:00,2019-01-19T00:00:00
2392,,,42.473272037134315,,134.0,2019-01-20T00:00:00,2019-01-20T00:00:00
2391,,,21.508766832067213,,119.0,2019-01-21T00:00:00,2019-01-21T00:00:00
2390,,,24.976418953156614,,166.0,2019-01-22T00:00:00,2019-01-22T00:00:00
2389,,,30.43371612212807,,203.0,2019-01-23T00:00:00,2019-01-23T00:00:00
2388,,,16.025722550524815,,141.0,2019-01-24T00:00:00,2019-01-24T00:00:00
2387,,,27.060078265731523,,231.0,2019-01-25T00:00:00,2019-01-25T00:00:00
2386,,,35.113519077793086,,116.0,2019-01-26T00:00:00,2019-01-26T00:00:00
2385,,,33.32242433390291,,103.0,2019-01-27T00:00:00,2019-01-27T00:00:00
2384,,,19.810678270217608,,193.0,2019-01-28T00:00:00,2019-01-28T00:00:00
2383,,,29.760672245395337,,172.0,2019-01-29T00:00:00,2019-01-29T00:00:00
2382,,,21.24451018601257,,159.0,2019-01-30T00:00:00,2019-01-30T00:00:00
2381,,,11.896702828383553,,146.0,2019-01-31T00:00:00,2019-01-31T00:00:00
2380,,,25.927096664000096,,128.0,2019-02-01T00:00:00,2019-02-01T00:00:00
2379,,,38.141273493268294,,82.0,2019-02-02T00:00:00,2019-02-02T00:00:00
2378,,,24.870111369882355,,34.0,2019-02-03T00:00:00,2019-02-03T00:00:00
2377,,,17.125013330666725,,120.0,2019-02-04T00:00:00,2019-02-04T00:00:00
2376,,,41.45834666400007,,100.0,2019-02-05T00:00:00,2019-02-05T00:00:00
2375,,,32.53699834939338,,178.0,2019-02-06T00:00:00,2019-02-06T00:00:00
2374,,,38.50767401825997,,223.0,2019-02-07T00:00:00,2019-02-07T00:00:00
2373,,,28.245231909901708,,183.0,2019-02-08T00:00:00,2019-02-08T00:00:00
2372,,,36.36743757309091,,66.0,2019-02-09T00:00:00,2019-02-09T00:00:00
2371,,,35.718086923740266,,77.0,2019-02-10T00:00:00,2019-02-10T00:00:00
2370,,,26.070591561959304,,147.0,2019-02-11T00:00:00,2019-02-11T00:00:00
2369,,,34.281876075764856,,170.0,2019-02-12T00:00:00,2019-02-12T00:00:00
