Period_Group,NPS_2025,NPS_2024,NPS_2019,Target,Responses,Min_Date,Max_Date
2412,,,,,,2018-12-31T00:00:00,2018-12-31T00:00:00
2411,,,36.634817252235315,,34.0,2019-01-01T00:00:00,2019-01-01T00:00:00
2410,,,33.693640781647076,,34.0,2019-01-02T00:00:00,2019-01-02T00:00:00
2409,,,12.125013330666668,,18.0,2019-01-03T00:00:00,2019-01-03T00:00:00
2408,,,39.902791108444475,,36.0,2019-01-04T00:00:00,2019-01-04T00:00:00
2407,,,7.958346663999998,,24.0,2019-01-05T00:00:00,2019-01-05T00:00:00
2406,,,33.38938114675862,,29.0,2019-01-06T00:00:00,2019-01-06T00:00:00
2405,,,59.97447569625809,,31.0,2019-01-07T00:00:00,2019-01-07T00:00:00
2404,,,46.80969801535139,,37.0,2019-01-08T00:00:00,2019-01-08T00:00:00
2403,,,57.363108568761945,,42.0,2019-01-09T00:00:00,2019-01-09T00:00:00
2402,,,39.575993722823554,,34.0,2019-01-10T00:00:00,2019-01-10T00:00:00
2401,,,31.17263237828576,,42.0,2019-01-11T00:00:00,2019-01-11T00:00:00
2400,,,38.31548952114285,,14.0,2019-01-12T00:00:00,2019-01-12T00:00:00
2399,,,27.037294032421045,,19.0,2019-01-13T00:00:00,2019-01-13T00:00:00
2398,,,28.016486198883758,,43.0,2019-01-14T00:00:00,2019-01-14T00:00:00
2397,,,37.31881178027911,,43.0,2019-01-15T00:00:00,2019-01-15T00:00:00
2396,,,32.66764898958144,,43.0,2019-01-16T00:00:00,2019-01-16T00:00:00
2395,,,34.09471030036368,,44.0,2019-01-17T00:00:00,2019-01-17T00:00:00
2394,,,45.45834666399999,,106.0,2019-01-18T00:00:00,2019-01-18T00:00:00
2393,,,57.12501333066668,,60.0,2019-01-19T00:00:00,2019-01-19T00:00:00
2392,,,39.36078568839027,,41.0,2019-01-20T00:00:00,2019-01-20T00:00:00
2391,,,45.45834666400002,,56.0,2019-01-21T00:00:00,2019-01-21T00:00:00
2390,,,32.07806497385918,,71.0,2019-01-22T00:00:00,2019-01-22T00:00:00
2389,,,41.29167999733334,,72.0,2019-01-23T00:00:00,2019-01-23T00:00:00
2388,,,48.18561939127275,,55.0,2019-01-24T00:00:00,2019-01-24T00:00:00
