Period_Group,NPS_2025,NPS_2024,NPS_2019,Target,Responses,Min_Date,Max_Date
2412,,,,,,2018-12-31T00:00:00,2018-12-31T00:00:00
2411,,,33.91988512553849,,39.0,2019-01-01T00:00:00,2019-01-01T00:00:00
2410,,,11.013902219555572,,45.0,2019-01-02T00:00:00,2019-01-02T00:00:00
2409,,,14.902791108444458,,36.0,2019-01-03T00:00:00,2019-01-03T00:00:00
2408,,,-20.541653336000003,,25.0,2019-01-04T00:00:00,2019-01-04T00:00:00
2407,,,-4.541653336,,38.0,2019-01-05T00:00:00,2019-01-05T00:00:00
2406,,,-9.303558097904768,,42.0,2019-01-06T00:00:00,2019-01-06T00:00:00
2405,,,-9.804811230736846,,38.0,2019-01-07T00:00:00,2019-01-07T00:00:00
2404,,,20.458346664,,28.0,2019-01-08T00:00:00,2019-01-08T00:00:00
2403,,,10.842962048615405,,52.0,2019-01-09T00:00:00,2019-01-09T00:00:00
2402,,,30.59348179913516,,37.0,2019-01-10T00:00:00,2019-01-10T00:00:00
2401,,,28.791679997333365,,39.0,2019-01-11T00:00:00,2019-01-11T00:00:00
2400,,,8.791679997333336,,30.0,2019-01-12T00:00:00,2019-01-12T00:00:00
2399,,,15.458346664000025,,50.0,2019-01-13T00:00:00,2019-01-13T00:00:00
2398,,,14.756592278035118,,57.0,2019-01-14T00:00:00,2019-01-14T00:00:00
2397,,,16.670467876121222,,33.0,2019-01-15T00:00:00,2019-01-15T00:00:00
2396,,,11.367437573090925,,44.0,2019-01-16T00:00:00,2019-01-16T00:00:00
2395,,,17.680568886222257,,54.0,2019-01-17T00:00:00,2019-01-17T00:00:00
2394,,,24.34723555288889,,90.0,2019-01-18T00:00:00,2019-01-18T00:00:00
2393,,,20.177447787595508,,89.0,2019-01-19T00:00:00,2019-01-19T00:00:00
2392,,,15.950149942688487,,122.0,2019-01-20T00:00:00,2019-01-20T00:00:00
2391,,,26.410727616380985,,42.0,2019-01-21T00:00:00,2019-01-21T00:00:00
2390,,,16.190053981073177,,82.0,2019-01-22T00:00:00,2019-01-22T00:00:00
2389,,,39.15582565559659,,119.0,2019-01-23T00:00:00,2019-01-23T00:00:00
2388,,,4.760672245395358,,43.0,2019-01-24T00:00:00,2019-01-24T00:00:00
2387,,,24.572270714632932,,79.0,2019-01-25T00:00:00,2019-01-25T00:00:00
2386,,,30.342067594232557,,86.0,2019-01-26T00:00:00,2019-01-26T00:00:00
2385,,,37.68056888622223,,90.0,2019-01-27T00:00:00,2019-01-27T00:00:00
2384,,,35.201936407589756,,78.0,2019-01-28T00:00:00,2019-01-28T00:00:00
2383,,,29.66887297978948,,76.0,2019-01-29T00:00:00,2019-01-29T00:00:00
2382,,,22.601203806857164,,70.0,2019-01-30T00:00:00,2019-01-30T00:00:00
2381,,,22.38142358707696,,52.0,2019-01-31T00:00:00,2019-01-31T00:00:00
2380,,,11.821983027636385,,55.0,2019-02-01T00:00:00,2019-02-01T00:00:00
2379,,,7.086253640744196,,43.0,2019-02-02T00:00:00,2019-02-02T00:00:00
2378,,,-31.81438060872727,,11.0,2019-02-03T00:00:00,2019-02-03T00:00:00
2377,,,16.88691809257145,,42.0,2019-02-04T00:00:00,2019-02-04T00:00:00
2376,,,12.125013330666679,,36.0,2019-02-05T00:00:00,2019-02-05T00:00:00
2375,,,41.612192817846065,,78.0,2019-02-06T00:00:00,2019-02-06T00:00:00
2374,,,46.973498179151434,,99.0,2019-02-07T00:00:00,2019-02-07T00:00:00
2373,,,17.197477098782606,,69.0,2019-02-08T00:00:00,2019-02-08T00:00:00
2372,,,10.842962048615409,,52.0,2019-02-09T00:00:00,2019-02-09T00:00:00
2371,,,21.873441003622677,,53.0,2019-02-10T00:00:00,2019-02-10T00:00:00
2370,,,25.617076822730148,,63.0,2019-02-11T00:00:00,2019-02-11T00:00:00
2369,,,31.70834666399993,,80.0,2019-02-12T00:00:00,2019-02-12T00:00:00
2368,,,15.458346664000025,,55.0,2019-02-13T00:00:00,2019-02-13T00:00:00
2367,,,26.309410493787148,,94.0,2019-02-14T00:00:00,2019-02-14T00:00:00
2366,,,15.940274374843337,,83.0,2019-02-15T00:00:00,2019-02-15T00:00:00
2365,,,15.72861693427025,,74.0,2019-02-16T00:00:00,2019-02-16T00:00:00
2364,,,34.69885299311385,,79.0,2019-02-17T00:00:00,2019-02-17T00:00:00
2363,,,25.458346664000025,,40.0,2019-02-18T00:00:00,2019-02-18T00:00:00
2362,,,16.148001836413798,,29.0,2019-02-19T00:00:00,2019-02-19T00:00:00
2361,,,34.99323038493027,,43.0,2019-02-20T00:00:00,2019-02-20T00:00:00
2360,,,27.458346664000043,,50.0,2019-02-21T00:00:00,2019-02-21T00:00:00
2359,,,0.45834666400000135,,40.0,2019-02-22T00:00:00,2019-02-22T00:00:00
2358,,,30.240955359652173,,23.0,2019-02-23T00:00:00,2019-02-23T00:00:00
2357,,,16.73494240868088,,47.0,2019-02-24T00:00:00,2019-02-24T00:00:00
2356,,,39.36078568839029,,41.0,2019-02-25T00:00:00,2019-02-25T00:00:00
2355,,,14.902791108444458,,36.0,2019-02-26T00:00:00,2019-02-26T00:00:00
2354,,,46.522176451234074,,47.0,2019-02-27T00:00:00,2019-02-27T00:00:00
2353,,,6.172632378285727,,56.0,2019-02-28T00:00:00,2019-02-28T00:00:00
2352,,,19.532420738074073,,54.0,2019-03-01T00:00:00,2019-03-01T00:00:00
2351,,,32.958346664000004,,32.0,2019-03-02T00:00:00,2019-03-02T00:00:00
2350,,,11.083346663999997,,32.0,2019-03-03T00:00:00,2019-03-03T00:00:00
2349,,,6.886918092571425,,35.0,2019-03-04T00:00:00,2019-03-04T00:00:00
2348,,,18.535269740923077,,52.0,2019-03-05T00:00:00,2019-03-05T00:00:00
2347,,,10.164229016941174,,68.0,2019-03-06T00:00:00,2019-03-06T00:00:00
2346,,,1.5807956435918378,,49.0,2019-03-07T00:00:00,2019-03-07T00:00:00
2345,,,24.029775235428573,,49.0,2019-03-08T00:00:00,2019-03-08T00:00:00
2344,,,9.744060949714285,,49.0,2019-03-09T00:00:00,2019-03-09T00:00:00
2343,,,30.875013330666665,,48.0,2019-03-10T00:00:00,2019-03-10T00:00:00
2342,,,32.41486840313043,,46.0,2019-03-11T00:00:00,2019-03-11T00:00:00
2341,,,27.890779096432436,,37.0,2019-03-12T00:00:00,2019-03-12T00:00:00
2340,,,47.071249889806445,,31.0,2019-03-13T00:00:00,2019-03-13T00:00:00
2339,,,4.982156187809525,,42.0,2019-03-14T00:00:00,2019-03-14T00:00:00
2338,,,31.3557825614359,,39.0,2019-03-15T00:00:00,2019-03-15T00:00:00
2337,,,23.365323408186047,,43.0,2019-03-16T00:00:00,2019-03-16T00:00:00
2336,,,21.384272589925928,,54.0,2019-03-17T00:00:00,2019-03-17T00:00:00
2335,,,24.625013330666665,,48.0,2019-03-18T00:00:00,2019-03-18T00:00:00
2334,,,40.45834666399999,,40.0,2019-03-19T00:00:00,2019-03-19T00:00:00
2333,,,41.458346664,,50.0,2019-03-20T00:00:00,2019-03-20T00:00:00
2332,,,22.125013330666665,,60.0,2019-03-21T00:00:00,2019-03-21T00:00:00
2331,,,25.08797629362963,,54.0,2019-03-22T00:00:00,2019-03-22T00:00:00
2330,,,27.533818362113212,,53.0,2019-03-23T00:00:00,2019-03-23T00:00:00
2329,,,4.833346663999998,,32.0,2019-03-24T00:00:00,2019-03-24T00:00:00
2328,,,17.680568886222225,,45.0,2019-03-25T00:00:00,2019-03-25T00:00:00
2327,,,49.029775235428566,,28.0,2019-03-26T00:00:00,2019-03-26T00:00:00
2326,,,35.45834666399999,,30.0,2019-03-27T00:00:00,2019-03-27T00:00:00
2325,,,21.648822854476194,,42.0,2019-03-28T00:00:00,2019-03-28T00:00:00
2324,,,40.35630584767347,,49.0,2019-03-29T00:00:00,2019-03-29T00:00:00
2323,,,9.744060949714282,,35.0,2019-03-30T00:00:00,2019-03-30T00:00:00
2322,,,28.791679997333336,,36.0,2019-03-31T00:00:00,2019-03-31T00:00:00
2321,,,46.88691809257144,,35.0,2019-04-01T00:00:00,2019-04-01T00:00:00
2320,,,42.82676771663158,,38.0,2019-04-02T00:00:00,2019-04-02T00:00:00
2319,,,30.942217631741936,,31.0,2019-04-03T00:00:00,2019-04-03T00:00:00
2318,,,4.281876075764711,,34.0,2019-04-04T00:00:00,2019-04-04T00:00:00
2317,,,18.987758428705884,,34.0,2019-04-05T00:00:00,2019-04-05T00:00:00
