Period_Group,NPS_2025,NPS_2024,NPS_2019,Target,Responses,Min_Date,Max_Date
2412,,,,,,2018-12-31T00:00:00,2018-12-31T00:00:00
2411,,,43.38220412712453,,92.0,2019-01-01T00:00:00,2019-01-01T00:00:00
2410,,,25.313457845543745,,138.0,2019-01-02T00:00:00,2019-01-02T00:00:00
2409,,,28.33168159818501,,109.0,2019-01-03T00:00:00,2019-01-03T00:00:00
2408,,,35.46654406610225,,121.0,2019-01-04T00:00:00,2019-01-04T00:00:00
2407,,,31.644873131273556,,95.0,2019-01-05T00:00:00,2019-01-05T00:00:00
2406,,,30.181195575346695,,98.0,2019-01-06T00:00:00,2019-01-06T00:00:00
2405,,,27.48654098986248,,130.0,2019-01-07T00:00:00,2019-01-07T00:00:00
2404,,,34.3123469297408,,154.0,2019-01-08T00:00:00,2019-01-08T00:00:00
2403,,,31.032449722220196,,170.0,2019-01-09T00:00:00,2019-01-09T00:00:00
2402,,,27.184224178946458,,151.0,2019-01-10T00:00:00,2019-01-10T00:00:00
2401,,,26.335196328286955,,169.0,2019-01-11T00:00:00,2019-01-11T00:00:00
2400,,,28.602702822390103,,81.0,2019-01-12T00:00:00,2019-01-12T00:00:00
2399,,,19.957175933584207,,97.0,2019-01-13T00:00:00,2019-01-13T00:00:00
2398,,,19.753177937243475,,168.0,2019-01-14T00:00:00,2019-01-14T00:00:00
2397,,,36.599024645469,,174.0,2019-01-15T00:00:00,2019-01-15T00:00:00
2396,,,22.410356860606736,,164.0,2019-01-16T00:00:00,2019-01-16T00:00:00
2395,,,38.33841622852849,,174.0,2019-01-17T00:00:00,2019-01-17T00:00:00
2394,,,35.11696428224719,,357.0,2019-01-18T00:00:00,2019-01-18T00:00:00
2393,,,43.429947534773945,,182.0,2019-01-19T00:00:00,2019-01-19T00:00:00
2392,,,41.338757606803256,,177.0,2019-01-20T00:00:00,2019-01-20T00:00:00
2391,,,29.015513931106863,,185.0,2019-01-21T00:00:00,2019-01-21T00:00:00
2390,,,28.422933730038512,,249.0,2019-01-22T00:00:00,2019-01-22T00:00:00
2389,,,33.09508886723341,,290.0,2019-01-23T00:00:00,2019-01-23T00:00:00
2388,,,25.63149694302263,,211.0,2019-01-24T00:00:00,2019-01-24T00:00:00
2387,,,32.9945599131769,,335.0,2019-01-25T00:00:00,2019-01-25T00:00:00
2386,,,40.91794808098653,,167.0,2019-01-26T00:00:00,2019-01-26T00:00:00
2385,,,34.1686485028957,,168.0,2019-01-27T00:00:00,2019-01-27T00:00:00
2384,,,27.645935561952395,,296.0,2019-01-28T00:00:00,2019-01-28T00:00:00
2383,,,28.114440456016307,,259.0,2019-01-29T00:00:00,2019-01-29T00:00:00
2382,,,28.5208172654438,,238.0,2019-01-30T00:00:00,2019-01-30T00:00:00
2381,,,20.756773108735437,,204.0,2019-01-31T00:00:00,2019-01-31T00:00:00
2380,,,29.72123259698061,,206.0,2019-02-01T00:00:00,2019-02-01T00:00:00
2379,,,36.401930590732526,,110.0,2019-02-02T00:00:00,2019-02-02T00:00:00
2378,,,27.43183359090725,,54.0,2019-02-03T00:00:00,2019-02-03T00:00:00
2377,,,27.033423679095733,,185.0,2019-02-04T00:00:00,2019-02-04T00:00:00
2376,,,35.54366518262913,,159.0,2019-02-05T00:00:00,2019-02-05T00:00:00
2375,,,31.769652500438728,,261.0,2019-02-06T00:00:00,2019-02-06T00:00:00
2374,,,41.9511769102904,,321.0,2019-02-07T00:00:00,2019-02-07T00:00:00
2373,,,31.66111737052982,,276.0,2019-02-08T00:00:00,2019-02-08T00:00:00
2372,,,39.296119285862005,,96.0,2019-02-09T00:00:00,2019-02-09T00:00:00
2371,,,37.79762645131951,,121.0,2019-02-10T00:00:00,2019-02-10T00:00:00
2370,,,31.71902465852656,,221.0,2019-02-11T00:00:00,2019-02-11T00:00:00
2369,,,34.54530892204534,,250.0,2019-02-12T00:00:00,2019-02-12T00:00:00
2368,,,25.686741115244377,,199.0,2019-02-13T00:00:00,2019-02-13T00:00:00
2367,,,29.925676416324617,,288.0,2019-02-14T00:00:00,2019-02-14T00:00:00
2366,,,31.505256415488308,,304.0,2019-02-15T00:00:00,2019-02-15T00:00:00
2365,,,27.782336807416772,,189.0,2019-02-16T00:00:00,2019-02-16T00:00:00
2364,,,17.768795588713452,,150.0,2019-02-17T00:00:00,2019-02-17T00:00:00
2363,,,39.46304651990278,,141.0,2019-02-18T00:00:00,2019-02-18T00:00:00
2362,,,33.18023263775514,,114.0,2019-02-19T00:00:00,2019-02-19T00:00:00
2361,,,36.25059684445874,,124.0,2019-02-20T00:00:00,2019-02-20T00:00:00
2360,,,36.09128920489731,,149.0,2019-02-21T00:00:00,2019-02-21T00:00:00
2359,,,29.400288059572812,,138.0,2019-02-22T00:00:00,2019-02-22T00:00:00
2358,,,39.934214750966945,,66.0,2019-02-23T00:00:00,2019-02-23T00:00:00
2357,,,42.24881929807204,,74.0,2019-02-24T00:00:00,2019-02-24T00:00:00
2356,,,36.800940912599295,,108.0,2019-02-25T00:00:00,2019-02-25T00:00:00
2355,,,30.39764451336173,,136.0,2019-02-26T00:00:00,2019-02-26T00:00:00
2354,,,35.022293348579005,,138.0,2019-02-27T00:00:00,2019-02-27T00:00:00
2353,,,17.060232757473475,,139.0,2019-02-28T00:00:00,2019-02-28T00:00:00
2352,,,23.444739715410876,,169.0,2019-03-01T00:00:00,2019-03-01T00:00:00
2351,,,39.69829447089215,,65.0,2019-03-02T00:00:00,2019-03-02T00:00:00
2350,,,-0.44003603070397634,,50.0,2019-03-03T00:00:00,2019-03-03T00:00:00
2349,,,-1.6372092974092998,,82.0,2019-03-04T00:00:00,2019-03-04T00:00:00
2348,,,6.3103572220341535,,121.0,2019-03-05T00:00:00,2019-03-05T00:00:00
2347,,,-12.704236970288616,,136.0,2019-03-06T00:00:00,2019-03-06T00:00:00
2346,,,10.27450125148695,,162.0,2019-03-07T00:00:00,2019-03-07T00:00:00
2345,,,28.21302120366686,,159.0,2019-03-08T00:00:00,2019-03-08T00:00:00
2344,,,33.50273311610234,,117.0,2019-03-09T00:00:00,2019-03-09T00:00:00
2343,,,10.689113600981294,,98.0,2019-03-10T00:00:00,2019-03-10T00:00:00
2342,,,7.758894823346272,,125.0,2019-03-11T00:00:00,2019-03-11T00:00:00
2341,,,23.05794595835877,,110.0,2019-03-12T00:00:00,2019-03-12T00:00:00
2340,,,29.581046018518588,,126.0,2019-03-13T00:00:00,2019-03-13T00:00:00
2339,,,33.615075222701535,,131.0,2019-03-14T00:00:00,2019-03-14T00:00:00
2338,,,12.180058651455443,,155.0,2019-03-15T00:00:00,2019-03-15T00:00:00
2337,,,34.772575604865246,,102.0,2019-03-16T00:00:00,2019-03-16T00:00:00
