Period_Group,Load_Factor,OTP15_adjusted,Mishandling,Misconex,Min_Date,Max_Date
2412,,100.0,,,2018-12-31T00:00:00,2018-12-31T00:00:00
2411,77.45076344323965,95.10703363914374,,,2019-01-01T00:00:00,2019-01-01T00:00:00
2410,83.60853148280437,89.86666666666667,,,2019-01-02T00:00:00,2019-01-02T00:00:00
2409,78.69459163933047,93.95604395604396,,,2019-01-03T00:00:00,2019-01-03T00:00:00
2408,75.37475425950197,94.48818897637796,,,2019-01-04T00:00:00,2019-01-04T00:00:00
2407,78.94201177696465,90.36544850498339,,,2019-01-05T00:00:00,2019-01-05T00:00:00
2406,75.56979754679342,94.83695652173914,,,2019-01-06T00:00:00,2019-01-06T00:00:00
2405,73.2628997264409,94.49760765550239,,,2019-01-07T00:00:00,2019-01-07T00:00:00
2404,69.21186079820384,94.0149625935162,,,2019-01-08T00:00:00,2019-01-08T00:00:00
2403,66.17482291726012,95.39951573849879,,,2019-01-09T00:00:00,2019-01-09T00:00:00
2402,69.20972282802649,92.01995012468828,,,2019-01-10T00:00:00,2019-01-10T00:00:00
2401,70.01730602826652,94.58762886597938,,,2019-01-11T00:00:00,2019-01-11T00:00:00
2400,68.09448647471834,96.45390070921985,,,2019-01-12T00:00:00,2019-01-12T00:00:00
2399,70.8783289354059,95.25139664804469,,,2019-01-13T00:00:00,2019-01-13T00:00:00
2398,71.24174246050742,97.05882352941177,,,2019-01-14T00:00:00,2019-01-14T00:00:00
2397,70.0352550808793,97.61904761904762,,,2019-01-15T00:00:00,2019-01-15T00:00:00
2396,70.33090297251823,93.82716049382715,,,2019-01-16T00:00:00,2019-01-16T00:00:00
2395,74.24490113654055,97.54299754299754,,,2019-01-17T00:00:00,2019-01-17T00:00:00
2394,76.28657119590045,96.49122807017544,,,2019-01-18T00:00:00,2019-01-18T00:00:00
2393,73.15517099750828,97.5,,,2019-01-19T00:00:00,2019-01-19T00:00:00
2392,76.44006683668982,94.97206703910615,,,2019-01-20T00:00:00,2019-01-20T00:00:00
2391,76.01363930314136,94.13202933985329,,,2019-01-21T00:00:00,2019-01-21T00:00:00
2390,72.77763069466225,94.05684754521964,,,2019-01-22T00:00:00,2019-01-22T00:00:00
2389,74.02782732786301,95.43147208121827,,,2019-01-23T00:00:00,2019-01-23T00:00:00
2388,79.55993868989997,92.92929292929293,,,2019-01-24T00:00:00,2019-01-24T00:00:00
2387,80.2862511494023,94.0149625935162,,,2019-01-25T00:00:00,2019-01-25T00:00:00
2386,75.52070436098501,94.60431654676259,,,2019-01-26T00:00:00,2019-01-26T00:00:00
2385,80.34083314769437,94.63276836158192,,,2019-01-27T00:00:00,2019-01-27T00:00:00
2384,78.12602401742517,94.62102689486552,,,2019-01-28T00:00:00,2019-01-28T00:00:00
2383,73.68431771894095,95.58441558441558,,,2019-01-29T00:00:00,2019-01-29T00:00:00
2382,73.29308581766696,93.53233830845771,,,2019-01-30T00:00:00,2019-01-30T00:00:00
2381,80.29335976214074,86.93467336683418,,,2019-01-31T00:00:00,2019-01-31T00:00:00
2380,79.88847953798665,78.1637717121588,,,2019-02-01T00:00:00,2019-02-01T00:00:00
2379,73.59061672342035,93.11594202898551,,,2019-02-02T00:00:00,2019-02-02T00:00:00
2378,78.68903111895828,94.08450704225352,,,2019-02-03T00:00:00,2019-02-03T00:00:00
2377,76.62544644571604,91.68704156479217,,,2019-02-04T00:00:00,2019-02-04T00:00:00
2376,71.90616070179645,95.14066496163683,,,2019-02-05T00:00:00,2019-02-05T00:00:00
2375,75.82172046804257,95.28535980148884,,,2019-02-06T00:00:00,2019-02-06T00:00:00
2374,79.97712106768351,96.63461538461539,,,2019-02-07T00:00:00,2019-02-07T00:00:00
2373,81.70940844848317,93.56435643564356,,,2019-02-08T00:00:00,2019-02-08T00:00:00
2372,76.63812409432222,98.25783972125436,,,2019-02-09T00:00:00,2019-02-09T00:00:00
2371,82.32730154537049,93.33333333333333,,,2019-02-10T00:00:00,2019-02-10T00:00:00
2370,79.78621275338773,97.39952718676122,,,2019-02-11T00:00:00,2019-02-11T00:00:00
2369,75.7751679768544,93.8118811881188,,,2019-02-12T00:00:00,2019-02-12T00:00:00
2368,77.60897908281844,97.10843373493975,,,2019-02-13T00:00:00,2019-02-13T00:00:00
2367,79.61797464173654,95.31615925058547,,,2019-02-14T00:00:00,2019-02-14T00:00:00
2366,83.04987930939176,94.84777517564402,,,2019-02-15T00:00:00,2019-02-15T00:00:00
2365,79.9584903859917,76.84887459807074,,,2019-02-16T00:00:00,2019-02-16T00:00:00
2364,82.87896445517356,88.20375335120644,,,2019-02-17T00:00:00,2019-02-17T00:00:00
2363,83.22440900773051,96.67458432304038,,,2019-02-18T00:00:00,2019-02-18T00:00:00
2362,79.26577336391031,97.79951100244499,,,2019-02-19T00:00:00,2019-02-19T00:00:00
2361,81.29469537128666,97.83653846153845,,,2019-02-20T00:00:00,2019-02-20T00:00:00
2360,82.78467947063811,95.50827423167848,,,2019-02-21T00:00:00,2019-02-21T00:00:00
2359,84.15510338397412,88.26291079812206,,,2019-02-22T00:00:00,2019-02-22T00:00:00
2358,81.3462293114194,91.82389937106919,,,2019-02-23T00:00:00,2019-02-23T00:00:00
2357,85.34566897112647,95.22546419098144,,,2019-02-24T00:00:00,2019-02-24T00:00:00
2356,82.70504659101393,97.87234042553192,,,2019-02-25T00:00:00,2019-02-25T00:00:00
2355,81.51081442929608,97.05159705159704,,,2019-02-26T00:00:00,2019-02-26T00:00:00
2354,84.67349458850876,98.82352941176471,,,2019-02-27T00:00:00,2019-02-27T00:00:00
2353,86.5325490056692,95.662100456621,,,2019-02-28T00:00:00,2019-02-28T00:00:00
2352,86.37289121582316,71.52777777777779,,,2019-03-01T00:00:00,2019-03-01T00:00:00
2351,85.20649270597904,95.0,,,2019-03-02T00:00:00,2019-03-02T00:00:00
2350,85.2726310217046,65.0,,,2019-03-03T00:00:00,2019-03-03T00:00:00
2349,86.13876178914931,61.029411764705884,,,2019-03-04T00:00:00,2019-03-04T00:00:00
2348,83.75369662265253,74.32762836185819,,,2019-03-05T00:00:00,2019-03-05T00:00:00
2347,79.94136964951667,59.80392156862745,,,2019-03-06T00:00:00,2019-03-06T00:00:00
2346,82.4639149151684,75.05827505827506,,,2019-03-07T00:00:00,2019-03-07T00:00:00
2345,84.98673534594604,86.61800486618006,,,2019-03-08T00:00:00,2019-03-08T00:00:00
2344,81.2050947093403,96.21451104100946,,,2019-03-09T00:00:00,2019-03-09T00:00:00
2343,83.81807180314644,85.63968668407311,,,2019-03-10T00:00:00,2019-03-10T00:00:00
2342,82.61894240683458,86.7298578199052,,,2019-03-11T00:00:00,2019-03-11T00:00:00
2341,79.0278977208726,84.70873786407766,,,2019-03-12T00:00:00,2019-03-12T00:00:00
2340,79.57001143194307,88.54415274463007,,,2019-03-13T00:00:00,2019-03-13T00:00:00
2339,86.07996538919134,90.5311778290993,,,2019-03-14T00:00:00,2019-03-14T00:00:00
2338,87.24209388233174,87.44292237442922,,,2019-03-15T00:00:00,2019-03-15T00:00:00
2337,84.79684851816225,89.44099378881988,,,2019-03-16T00:00:00,2019-03-16T00:00:00
2336,84.72880569618977,81.15183246073299,,,2019-03-17T00:00:00,2019-03-17T00:00:00
2335,79.24726428650382,86.87350835322196,,,2019-03-18T00:00:00,2019-03-18T00:00:00
2334,77.08081052716558,80.72916666666666,,,2019-03-19T00:00:00,2019-03-19T00:00:00
2333,81.28680479825518,92.95774647887323,,,2019-03-20T00:00:00,2019-03-20T00:00:00
2332,82.66137796131275,92.55813953488372,,,2019-03-21T00:00:00,2019-03-21T00:00:00
2331,85.55197435943606,89.86175115207374,,,2019-03-22T00:00:00,2019-03-22T00:00:00
2330,83.2676223250302,91.90031152647975,,,2019-03-23T00:00:00,2019-03-23T00:00:00
2329,86.11298121060041,94.70899470899471,,,2019-03-24T00:00:00,2019-03-24T00:00:00
2328,84.9341524426133,93.86792452830188,,,2019-03-25T00:00:00,2019-03-25T00:00:00
2327,80.28169014084507,92.66503667481662,,,2019-03-26T00:00:00,2019-03-26T00:00:00
2326,80.79991074914933,94.20289855072464,,,2019-03-27T00:00:00,2019-03-27T00:00:00
2325,83.52152242863615,92.95774647887323,,,2019-03-28T00:00:00,2019-03-28T00:00:00
2324,86.29402481887956,94.93087557603687,,,2019-03-29T00:00:00,2019-03-29T00:00:00
2323,83.25461373637766,97.8125,,,2019-03-30T00:00:00,2019-03-30T00:00:00
2322,86.20668924470452,92.82051282051282,,,2019-03-31T00:00:00,2019-03-31T00:00:00
2321,82.08266744152259,91.95402298850574,,,2019-04-01T00:00:00,2019-04-01T00:00:00
2320,75.61472087619117,93.50348027842227,,,2019-04-02T00:00:00,2019-04-02T00:00:00
2319,75.82530709101061,95.71106094808127,,,2019-04-03T00:00:00,2019-04-03T00:00:00
2318,81.8842232711576,92.55079006772009,,,2019-04-04T00:00:00,2019-04-04T00:00:00
2317,85.5964876680994,81.88235294117648,,,2019-04-05T00:00:00,2019-04-05T00:00:00
2316,80.62060368622562,91.54518950437318,,,2019-04-06T00:00:00,2019-04-06T00:00:00
2315,85.28111790932428,89.0,,,2019-04-07T00:00:00,2019-04-07T00:00:00
2314,84.62105679651812,90.82568807339449,,,2019-04-08T00:00:00,2019-04-08T00:00:00
2313,81.5366889897026,95.3810623556582,,,2019-04-09T00:00:00,2019-04-09T00:00:00
2312,83.1659493065519,94.44444444444444,,,2019-04-10T00:00:00,2019-04-10T00:00:00
2311,85.21622235025052,93.42403628117914,,,2019-04-11T00:00:00,2019-04-11T00:00:00
2310,86.5132711296313,88.57808857808858,,,2019-04-12T00:00:00,2019-04-12T00:00:00
2309,83.92220490595845,86.90807799442896,,,2019-04-13T00:00:00,2019-04-13T00:00:00
2308,84.68996005739326,89.38271604938272,,,2019-04-14T00:00:00,2019-04-14T00:00:00
2307,80.39572864321607,89.66480446927375,,,2019-04-15T00:00:00,2019-04-15T00:00:00
2306,78.23686744409972,93.35260115606935,,,2019-04-16T00:00:00,2019-04-16T00:00:00
2305,78.64736104624008,90.625,,,2019-04-17T00:00:00,2019-04-17T00:00:00
2304,86.20364671487921,87.71929824561404,,,2019-04-18T00:00:00,2019-04-18T00:00:00
2303,79.87466464600953,91.8848167539267,,,2019-04-19T00:00:00,2019-04-19T00:00:00
