Period_Group,Load_Factor,OTP15_adjusted,Mishandling,Misconex,Min_Date,Max_Date
2412,,100.0,,,2018-12-31T00:00:00,2018-12-31T00:00:00
2411,71.36828644501279,95.16129032258065,,,2019-01-01T00:00:00,2019-01-01T00:00:00
2410,80.66211604095564,88.20224719101124,,,2019-01-02T00:00:00,2019-01-02T00:00:00
2409,74.0868366643694,91.37931034482759,,,2019-01-03T00:00:00,2019-01-03T00:00:00
2408,68.87143199808108,95.95959595959596,,,2019-01-04T00:00:00,2019-01-04T00:00:00
2407,67.38164416339087,89.47368421052632,,,2019-01-05T00:00:00,2019-01-05T00:00:00
2406,70.04516129032258,94.05405405405405,,,2019-01-06T00:00:00,2019-01-06T00:00:00
2405,68.44401079033462,96.26168224299066,,,2019-01-07T00:00:00,2019-01-07T00:00:00
2404,64.14543194530764,94.35897435897435,,,2019-01-08T00:00:00,2019-01-08T00:00:00
2403,58.12366484690244,97.07317073170731,,,2019-01-09T00:00:00,2019-01-09T00:00:00
2402,60.98286963916899,92.6829268292683,,,2019-01-10T00:00:00,2019-01-10T00:00:00
2401,58.776716689404275,96.17224880382776,,,2019-01-11T00:00:00,2019-01-11T00:00:00
2400,59.63114754098361,97.01492537313433,,,2019-01-12T00:00:00,2019-01-12T00:00:00
2399,59.36151307438436,96.2566844919786,,,2019-01-13T00:00:00,2019-01-13T00:00:00
2398,62.54142992424242,96.60194174757282,,,2019-01-14T00:00:00,2019-01-14T00:00:00
2397,61.2143584521385,98.42105263157895,,,2019-01-15T00:00:00,2019-01-15T00:00:00
2396,62.947739283617146,92.7536231884058,,,2019-01-16T00:00:00,2019-01-16T00:00:00
2395,64.67161016949152,98.08612440191388,,,2019-01-17T00:00:00,2019-01-17T00:00:00
2394,66.49917172832689,97.22222222222221,,,2019-01-18T00:00:00,2019-01-18T00:00:00
2393,67.15557883708748,98.48484848484848,,,2019-01-19T00:00:00,2019-01-19T00:00:00
2392,66.74665319525133,93.58288770053476,,,2019-01-20T00:00:00,2019-01-20T00:00:00
2391,67.31777898354133,94.73684210526316,,,2019-01-21T00:00:00,2019-01-21T00:00:00
2390,64.33783290769793,98.49246231155779,,,2019-01-22T00:00:00,2019-01-22T00:00:00
2389,65.12655928303258,97.47474747474747,,,2019-01-23T00:00:00,2019-01-23T00:00:00
2388,71.18970287501504,92.6829268292683,,,2019-01-24T00:00:00,2019-01-24T00:00:00
2387,71.12683783190695,94.4954128440367,,,2019-01-25T00:00:00,2019-01-25T00:00:00
2386,66.52416681207468,91.66666666666666,,,2019-01-26T00:00:00,2019-01-26T00:00:00
2385,69.44797761383872,94.05405405405405,,,2019-01-27T00:00:00,2019-01-27T00:00:00
2384,70.2548071251622,94.73684210526316,,,2019-01-28T00:00:00,2019-01-28T00:00:00
2383,66.8372441337993,97.40932642487047,,,2019-01-29T00:00:00,2019-01-29T00:00:00
2382,65.45198072175855,93.20388349514563,,,2019-01-30T00:00:00,2019-01-30T00:00:00
2381,71.07037256061503,84.8780487804878,,,2019-01-31T00:00:00,2019-01-31T00:00:00
2380,72.27848101265822,78.53881278538812,,,2019-02-01T00:00:00,2019-02-01T00:00:00
2379,66.97370774458952,95.23809523809523,,,2019-02-02T00:00:00,2019-02-02T00:00:00
2378,69.14648212226066,96.75675675675676,,,2019-02-03T00:00:00,2019-02-03T00:00:00
2377,68.24289256674932,93.8388625592417,,,2019-02-04T00:00:00,2019-02-04T00:00:00
2376,66.14400787062658,93.93939393939394,,,2019-02-05T00:00:00,2019-02-05T00:00:00
2375,69.90890566942348,94.11764705882352,,,2019-02-06T00:00:00,2019-02-06T00:00:00
2374,73.05512622359609,97.66355140186917,,,2019-02-07T00:00:00,2019-02-07T00:00:00
2373,73.7473303762116,96.34703196347031,,,2019-02-08T00:00:00,2019-02-08T00:00:00
2372,71.54114134041141,98.54014598540147,,,2019-02-09T00:00:00,2019-02-09T00:00:00
2371,74.51530612244898,96.2962962962963,,,2019-02-10T00:00:00,2019-02-10T00:00:00
2370,73.8780274292384,99.05660377358491,,,2019-02-11T00:00:00,2019-02-11T00:00:00
2369,69.76122486177775,91.87817258883248,,,2019-02-12T00:00:00,2019-02-12T00:00:00
2368,70.73713816945974,96.63461538461539,,,2019-02-13T00:00:00,2019-02-13T00:00:00
2367,72.74303548722692,97.65258215962442,,,2019-02-14T00:00:00,2019-02-14T00:00:00
2366,77.04602555193243,96.44444444444444,,,2019-02-15T00:00:00,2019-02-15T00:00:00
2365,76.95356738391847,74.46808510638299,,,2019-02-16T00:00:00,2019-02-16T00:00:00
2364,74.48310961257077,92.02127659574468,,,2019-02-17T00:00:00,2019-02-17T00:00:00
2363,77.95170206575503,97.6303317535545,,,2019-02-18T00:00:00,2019-02-18T00:00:00
2362,74.09832090683155,98.99497487437185,,,2019-02-19T00:00:00,2019-02-19T00:00:00
2361,76.13824015097902,96.55172413793103,,,2019-02-20T00:00:00,2019-02-20T00:00:00
2360,78.05842798214387,96.6824644549763,,,2019-02-21T00:00:00,2019-02-21T00:00:00
2359,80.7477438762355,95.53571428571429,,,2019-02-22T00:00:00,2019-02-22T00:00:00
2358,79.89293024720516,94.52054794520548,,,2019-02-23T00:00:00,2019-02-23T00:00:00
2357,78.85820227592379,94.6524064171123,,,2019-02-24T00:00:00,2019-02-24T00:00:00
2356,78.49923610294982,98.57142857142858,,,2019-02-25T00:00:00,2019-02-25T00:00:00
2355,80.22533495736907,96.44670050761421,,,2019-02-26T00:00:00,2019-02-26T00:00:00
2354,80.84946980175197,99.03846153846155,,,2019-02-27T00:00:00,2019-02-27T00:00:00
2353,81.52222222222221,97.24770642201834,,,2019-02-28T00:00:00,2019-02-28T00:00:00
2352,80.94111172261971,69.81981981981981,,,2019-03-01T00:00:00,2019-03-01T00:00:00
2351,80.65153791412983,95.83333333333334,,,2019-03-02T00:00:00,2019-03-02T00:00:00
2350,82.81260589630634,68.71508379888269,,,2019-03-03T00:00:00,2019-03-03T00:00:00
2349,86.01322910402887,59.00000000000001,,,2019-03-04T00:00:00,2019-03-04T00:00:00
2348,79.69675432362,72.6829268292683,,,2019-03-05T00:00:00,2019-03-05T00:00:00
2347,78.44188708802797,63.959390862944154,,,2019-03-06T00:00:00,2019-03-06T00:00:00
2346,79.46493945367502,74.29906542056075,,,2019-03-07T00:00:00,2019-03-07T00:00:00
2345,81.62816281628163,87.4439461883408,,,2019-03-08T00:00:00,2019-03-08T00:00:00
2344,78.49470857684409,97.24137931034483,,,2019-03-09T00:00:00,2019-03-09T00:00:00
2343,80.46034525894422,86.52849740932642,,,2019-03-10T00:00:00,2019-03-10T00:00:00
2342,79.75926142339605,87.20379146919431,,,2019-03-11T00:00:00,2019-03-11T00:00:00
2341,77.79525653436592,87.25490196078431,,,2019-03-12T00:00:00,2019-03-12T00:00:00
2340,79.05844155844156,87.5598086124402,,,2019-03-13T00:00:00,2019-03-13T00:00:00
2339,82.86896076291147,98.14814814814815,,,2019-03-14T00:00:00,2019-03-14T00:00:00
2338,85.9498787388844,90.0,,,2019-03-15T00:00:00,2019-03-15T00:00:00
2337,85.87534736006351,88.27586206896552,,,2019-03-16T00:00:00,2019-03-16T00:00:00
2336,78.8647342995169,84.81675392670157,,,2019-03-17T00:00:00,2019-03-17T00:00:00
2335,74.24721734036322,86.0576923076923,,,2019-03-18T00:00:00,2019-03-18T00:00:00
2334,73.5820132856413,80.72916666666666,,,2019-03-19T00:00:00,2019-03-19T00:00:00
2333,79.03854979348324,95.75471698113208,,,2019-03-20T00:00:00,2019-03-20T00:00:00
