Period_Group,NPS_2025,NPS_2024,NPS_2019,Target,Responses,Min_Date,Max_Date
2412,,,,,,2018-12-31T00:00:00,2018-12-31T00:00:00
2411,,,30.696190054231433,,48.0,2019-01-01T00:00:00,2019-01-01T00:00:00
2410,,,12.303424893550325,,55.0,2019-01-02T00:00:00,2019-01-02T00:00:00
2409,,,20.03297879186292,,46.0,2019-01-03T00:00:00,2019-01-03T00:00:00
2408,,,-15.652764447111114,,36.0,2019-01-04T00:00:00,2019-01-04T00:00:00
2407,,,3.415707576614806,,44.0,2019-01-05T00:00:00,2019-01-05T00:00:00
2406,,,-11.19274047310376,,52.0,2019-01-06T00:00:00,2019-01-06T00:00:00
2405,,,2.9169681006183454,,53.0,2019-01-07T00:00:00,2019-01-07T00:00:00
2404,,,19.991118482434793,,39.0,2019-01-08T00:00:00,2019-01-08T00:00:00
2403,,,16.696017167579075,,70.0,2019-01-09T00:00:00,2019-01-09T00:00:00
2402,,,29.92827329049631,,55.0,2019-01-10T00:00:00,2019-01-10T00:00:00
2401,,,31.74849560696636,,53.0,2019-01-11T00:00:00,2019-01-11T00:00:00
2400,,,21.95654799000808,,47.0,2019-01-12T00:00:00,2019-01-12T00:00:00
2399,,,19.85411500120113,,77.0,2019-01-13T00:00:00,2019-01-13T00:00:00
2398,,,16.987273469138287,,79.0,2019-01-14T00:00:00,2019-01-14T00:00:00
2397,,,23.057770270160027,,57.0,2019-01-15T00:00:00,2019-01-15T00:00:00
2396,,,21.264360498911394,,68.0,2019-01-16T00:00:00,2019-01-16T00:00:00
2395,,,18.394098658788327,,69.0,2019-01-17T00:00:00,2019-01-17T00:00:00
2394,,,24.752603662337684,,113.0,2019-01-18T00:00:00,2019-01-18T00:00:00
2393,,,22.138999417346472,,125.0,2019-01-19T00:00:00,2019-01-19T00:00:00
2392,,,20.214359927003425,,149.0,2019-01-20T00:00:00,2019-01-20T00:00:00
2391,,,23.502775092443166,,56.0,2019-01-21T00:00:00,2019-01-21T00:00:00
2390,,,18.243361286055027,,107.0,2019-01-22T00:00:00,2019-01-22T00:00:00
2389,,,39.11736560282719,,141.0,2019-01-23T00:00:00,2019-01-23T00:00:00
2388,,,9.609123584563406,,54.0,2019-01-24T00:00:00,2019-01-24T00:00:00
2387,,,27.58702869670822,,94.0,2019-01-25T00:00:00,2019-01-25T00:00:00
2386,,,32.25971907602662,,111.0,2019-01-26T00:00:00,2019-01-26T00:00:00
2385,,,35.647342694346214,,117.0,2019-01-27T00:00:00,2019-01-27T00:00:00
2384,,,38.97034113909611,,102.0,2019-01-28T00:00:00,2019-01-28T00:00:00
2383,,,31.084668765946144,,98.0,2019-01-29T00:00:00,2019-01-29T00:00:00
2382,,,21.215421957060673,,94.0,2019-01-30T00:00:00,2019-01-30T00:00:00
2381,,,25.0300904657969,,70.0,2019-01-31T00:00:00,2019-01-31T00:00:00
2380,,,16.083773179732887,,73.0,2019-02-01T00:00:00,2019-02-01T00:00:00
2379,,,11.615638171856112,,58.0,2019-02-02T00:00:00,2019-02-02T00:00:00
2378,,,-3.298224799556893,,19.0,2019-02-03T00:00:00,2019-02-03T00:00:00
2377,,,17.89191195858358,,58.0,2019-02-04T00:00:00,2019-02-04T00:00:00
2376,,,14.195074266504172,,57.0,2019-02-05T00:00:00,2019-02-05T00:00:00
2375,,,38.89622651795066,,103.0,2019-02-06T00:00:00,2019-02-06T00:00:00
2374,,,42.92057395342463,,133.0,2019-02-07T00:00:00,2019-02-07T00:00:00
2373,,,22.703998605581077,,103.0,2019-02-08T00:00:00,2019-02-08T00:00:00
2372,,,20.812384538925386,,77.0,2019-02-09T00:00:00,2019-02-09T00:00:00
2371,,,26.880608664275726,,85.0,2019-02-10T00:00:00,2019-02-10T00:00:00
2370,,,29.936445878473247,,82.0,2019-02-11T00:00:00,2019-02-11T00:00:00
