Period_Group,NPS_2025,NPS_2024,NPS_2019,Target,Responses,Min_Date,Max_Date
2412,,,,,,2018-12-31T00:00:00,2018-12-31T00:00:00
2411,,,95.458346664,,3.0,2019-01-01T00:00:00,2019-01-01T00:00:00
2410,,,25.458346664,,10.0,2019-01-02T00:00:00,2019-01-02T00:00:00
2409,,,57.958346664000004,,8.0,2019-01-03T00:00:00,2019-01-03T00:00:00
2408,,,-15.652764447111114,,9.0,2019-01-04T00:00:00,2019-01-04T00:00:00
2407,,,70.458346664,,4.0,2019-01-05T00:00:00,2019-01-05T00:00:00
2406,,,62.12501333066667,,6.0,2019-01-06T00:00:00,2019-01-06T00:00:00
2405,,,72.38142358707694,,13.0,2019-01-07T00:00:00,2019-01-07T00:00:00
2404,,,35.458346664,,5.0,2019-01-08T00:00:00,2019-01-08T00:00:00
2403,,,18.535269740923074,,13.0,2019-01-09T00:00:00,2019-01-09T00:00:00
2402,,,45.45834666400001,,12.0,2019-01-10T00:00:00,2019-01-10T00:00:00
2401,,,45.458346664,,10.0,2019-01-11T00:00:00,2019-01-11T00:00:00
2400,,,56.996808202461544,,13.0,2019-01-12T00:00:00,2019-01-12T00:00:00
2399,,,75.45834666400002,,20.0,2019-01-13T00:00:00,2019-01-13T00:00:00
2398,,,16.886918092571435,,14.0,2019-01-14T00:00:00,2019-01-14T00:00:00
2397,,,25.458346663999997,,20.0,2019-01-15T00:00:00,2019-01-15T00:00:00
2396,,,52.601203806857136,,14.0,2019-01-16T00:00:00,2019-01-16T00:00:00
2395,,,28.791679997333336,,3.0,2019-01-17T00:00:00,2019-01-17T00:00:00
2394,,,35.458346664,,15.0,2019-01-18T00:00:00,2019-01-18T00:00:00
2393,,,45.458346664000004,,28.0,2019-01-19T00:00:00,2019-01-19T00:00:00
2392,,,49.304500510153844,,13.0,2019-01-20T00:00:00,2019-01-20T00:00:00
2391,,,62.12501333066667,,6.0,2019-01-21T00:00:00,2019-01-21T00:00:00
2390,,,34.34723555288888,,18.0,2019-01-22T00:00:00,2019-01-22T00:00:00
2389,,,54.28187607576471,,17.0,2019-01-23T00:00:00,2019-01-23T00:00:00
2388,,,95.458346664,,7.0,2019-01-24T00:00:00,2019-01-24T00:00:00
2387,,,45.458346664,,8.0,2019-01-25T00:00:00,2019-01-25T00:00:00
2386,,,59.744060949714274,,14.0,2019-01-26T00:00:00,2019-01-26T00:00:00
2385,,,35.45834666399999,,20.0,2019-01-27T00:00:00,2019-01-27T00:00:00
2384,,,82.12501333066668,,15.0,2019-01-28T00:00:00,2019-01-28T00:00:00
2383,,,42.51717019341175,,17.0,2019-01-29T00:00:00,2019-01-29T00:00:00
2382,,,18.987758428705877,,17.0,2019-01-30T00:00:00,2019-01-30T00:00:00
2381,,,13.640164845818184,,11.0,2019-01-31T00:00:00,2019-01-31T00:00:00
2380,,,15.458346664000011,,15.0,2019-02-01T00:00:00,2019-02-01T00:00:00
2379,,,5.458346664000001,,10.0,2019-02-02T00:00:00,2019-02-02T00:00:00
2378,,,45.458346664,,6.0,2019-02-03T00:00:00,2019-02-03T00:00:00
2377,,,17.680568886222225,,9.0,2019-02-04T00:00:00,2019-02-04T00:00:00
2376,,,28.79167999733335,,15.0,2019-02-05T00:00:00,2019-02-05T00:00:00
2375,,,58.6162414008421,,19.0,2019-02-06T00:00:00,2019-02-06T00:00:00
2374,,,35.458346664,,25.0,2019-02-07T00:00:00,2019-02-07T00:00:00
2373,,,55.458346664,,25.0,2019-02-08T00:00:00,2019-02-08T00:00:00
2372,,,38.315489521142865,,14.0,2019-02-09T00:00:00,2019-02-09T00:00:00
2371,,,49.62501333066666,,24.0,2019-02-10T00:00:00,2019-02-10T00:00:00
2370,,,40.912892118545464,,11.0,2019-02-11T00:00:00,2019-02-11T00:00:00
2369,,,36.19908740474073,,27.0,2019-02-12T00:00:00,2019-02-12T00:00:00
2368,,,55.458346664,,20.0,2019-02-13T00:00:00,2019-02-13T00:00:00
2367,,,57.95834666400001,,16.0,2019-02-14T00:00:00,2019-02-14T00:00:00
2366,,,54.54925575490909,,22.0,2019-02-15T00:00:00,2019-02-15T00:00:00
2365,,,32.95834666400002,,16.0,2019-02-16T00:00:00,2019-02-16T00:00:00
2364,,,40.91289211854545,,22.0,2019-02-17T00:00:00,2019-02-17T00:00:00
2363,,,28.79167999733333,,3.0,2019-02-18T00:00:00,2019-02-18T00:00:00
2362,,,45.45834666400001,,14.0,2019-02-19T00:00:00,2019-02-19T00:00:00
2361,,,38.31548952114286,,7.0,2019-02-20T00:00:00,2019-02-20T00:00:00
2360,,,-4.5416533359999995,,8.0,2019-02-21T00:00:00,2019-02-21T00:00:00
2359,,,52.601203806857136,,7.0,2019-02-22T00:00:00,2019-02-22T00:00:00
2358,,,45.458346664000004,,2.0,2019-02-23T00:00:00,2019-02-23T00:00:00
2357,,,70.45834666400002,,12.0,2019-02-24T00:00:00,2019-02-24T00:00:00
2356,,,59.09471030036365,,11.0,2019-02-25T00:00:00,2019-02-25T00:00:00
2355,,,45.458346664000004,,8.0,2019-02-26T00:00:00,2019-02-26T00:00:00
2354,,,53.79167999733335,,12.0,2019-02-27T00:00:00,2019-02-27T00:00:00
2353,,,28.791679997333343,,12.0,2019-02-28T00:00:00,2019-02-28T00:00:00
2352,,,57.958346664000004,,8.0,2019-03-01T00:00:00,2019-03-01T00:00:00
2351,,,95.458346664,,3.0,2019-03-02T00:00:00,2019-03-02T00:00:00
2350,,,15.458346664000006,,5.0,2019-03-03T00:00:00,2019-03-03T00:00:00
2349,,,45.458346664,,4.0,2019-03-04T00:00:00,2019-03-04T00:00:00
2348,,,55.458346664000004,,20.0,2019-03-05T00:00:00,2019-03-05T00:00:00
