Period_Group,NPS_2025,NPS_2024,NPS_2019,Target,Responses,Min_Date,Max_Date
2412,,,,,,2018-12-31T00:00:00,2018-12-31T00:00:00
2411,,,-4.541653336,,6.0,2019-01-01T00:00:00,2019-01-01T00:00:00
2410,,,,,,2019-01-02T00:00:00,2019-01-02T00:00:00
2409,,,45.458346664,,2.0,2019-01-03T00:00:00,2019-01-03T00:00:00
2408,,,45.458346664,,2.0,2019-01-04T00:00:00,2019-01-04T00:00:00
2407,,,95.458346664,,2.0,2019-01-05T00:00:00,2019-01-05T00:00:00
2406,,,-79.541653336,,4.0,2019-01-06T00:00:00,2019-01-06T00:00:00
2405,,,45.458346664,,2.0,2019-01-07T00:00:00,2019-01-07T00:00:00
2404,,,12.125013330666668,,6.0,2019-01-08T00:00:00,2019-01-08T00:00:00
2403,,,75.458346664,,5.0,2019-01-09T00:00:00,2019-01-09T00:00:00
2402,,,12.125013330666668,,6.0,2019-01-10T00:00:00,2019-01-10T00:00:00
2401,,,45.458346664,,4.0,2019-01-11T00:00:00,2019-01-11T00:00:00
2400,,,70.458346664,,4.0,2019-01-12T00:00:00,2019-01-12T00:00:00
2399,,,-18.827367621714288,,7.0,2019-01-13T00:00:00,2019-01-13T00:00:00
2398,,,32.958346664,,8.0,2019-01-14T00:00:00,2019-01-14T00:00:00
2397,,,70.458346664,,4.0,2019-01-15T00:00:00,2019-01-15T00:00:00
2396,,,45.458346664,,10.0,2019-01-16T00:00:00,2019-01-16T00:00:00
2395,,,20.458346664,,12.0,2019-01-17T00:00:00,2019-01-17T00:00:00
2394,,,20.458346664,,8.0,2019-01-18T00:00:00,2019-01-18T00:00:00
2393,,,7.958346664,,8.0,2019-01-19T00:00:00,2019-01-19T00:00:00
2392,,,45.458346664,,14.0,2019-01-20T00:00:00,2019-01-20T00:00:00
2391,,,-4.541653336,,8.0,2019-01-21T00:00:00,2019-01-21T00:00:00
2390,,,24.029775235428573,,7.0,2019-01-22T00:00:00,2019-01-22T00:00:00
2389,,,15.458346664,,5.0,2019-01-23T00:00:00,2019-01-23T00:00:00
2388,,,-4.541653336,,4.0,2019-01-24T00:00:00,2019-01-24T00:00:00
2387,,,52.60120380685714,,7.0,2019-01-25T00:00:00,2019-01-25T00:00:00
2386,,,31.821983027636367,,11.0,2019-01-26T00:00:00,2019-01-26T00:00:00
2385,,,9.744060949714285,,7.0,2019-01-27T00:00:00,2019-01-27T00:00:00
2384,,,39.90279110844444,,9.0,2019-01-28T00:00:00,2019-01-28T00:00:00
2383,,,35.458346664,,5.0,2019-01-29T00:00:00,2019-01-29T00:00:00
2382,,,9.744060949714285,,7.0,2019-01-30T00:00:00,2019-01-30T00:00:00
2381,,,52.60120380685714,,7.0,2019-01-31T00:00:00,2019-01-31T00:00:00
2380,,,95.458346664,,3.0,2019-02-01T00:00:00,2019-02-01T00:00:00
2379,,,55.45834666399999,,5.0,2019-02-02T00:00:00,2019-02-02T00:00:00
2378,,,95.458346664,,2.0,2019-02-03T00:00:00,2019-02-03T00:00:00
2377,,,24.029775235428566,,7.0,2019-02-04T00:00:00,2019-02-04T00:00:00
2376,,,12.125013330666665,,6.0,2019-02-05T00:00:00,2019-02-05T00:00:00
2375,,,-21.208320002666664,,6.0,2019-02-06T00:00:00,2019-02-06T00:00:00
2374,,,6.5694577751111085,,9.0,2019-02-07T00:00:00,2019-02-07T00:00:00
2373,,,28.79167999733333,,9.0,2019-02-08T00:00:00,2019-02-08T00:00:00
2372,,,59.09471030036363,,11.0,2019-02-09T00:00:00,2019-02-09T00:00:00
2371,,,32.95834666399999,,8.0,2019-02-10T00:00:00,2019-02-10T00:00:00
2370,,,57.95834666399999,,8.0,2019-02-11T00:00:00,2019-02-11T00:00:00
2369,,,28.791679997333333,,3.0,2019-02-12T00:00:00,2019-02-12T00:00:00
2368,,,35.458346664,,5.0,2019-02-13T00:00:00,2019-02-13T00:00:00
2367,,,62.125013330666654,,6.0,2019-02-14T00:00:00,2019-02-14T00:00:00
2366,,,77.27652848218182,,11.0,2019-02-15T00:00:00,2019-02-15T00:00:00
2365,,,45.45834666399999,,8.0,2019-02-16T00:00:00,2019-02-16T00:00:00
2364,,,28.79167999733333,,12.0,2019-02-17T00:00:00,2019-02-17T00:00:00
2363,,,20.458346664,,4.0,2019-02-18T00:00:00,2019-02-18T00:00:00
2362,,,-4.541653336,,2.0,2019-02-19T00:00:00,2019-02-19T00:00:00
2361,,,28.79167999733333,,6.0,2019-02-20T00:00:00,2019-02-20T00:00:00
2360,,,45.458346664,,4.0,2019-02-21T00:00:00,2019-02-21T00:00:00
2359,,,45.458346664,,4.0,2019-02-22T00:00:00,2019-02-22T00:00:00
2358,,,28.791679997333333,,3.0,2019-02-23T00:00:00,2019-02-23T00:00:00
2357,,,45.458346664,,4.0,2019-02-24T00:00:00,2019-02-24T00:00:00
2356,,,20.458346663999997,,8.0,2019-02-25T00:00:00,2019-02-25T00:00:00
2355,,,-4.541653336,,5.0,2019-02-26T00:00:00,2019-02-26T00:00:00
2354,,,45.458346664,,2.0,2019-02-27T00:00:00,2019-02-27T00:00:00
2353,,,7.958346663999998,,8.0,2019-02-28T00:00:00,2019-02-28T00:00:00
2352,,,55.45834666399999,,5.0,2019-03-01T00:00:00,2019-03-01T00:00:00
2351,,,70.45834666399999,,4.0,2019-03-02T00:00:00,2019-03-02T00:00:00
2350,,,28.791679997333336,,3.0,2019-03-03T00:00:00,2019-03-03T00:00:00
2349,,,15.458346664,,5.0,2019-03-04T00:00:00,2019-03-04T00:00:00
2348,,,35.45834666399999,,5.0,2019-03-05T00:00:00,2019-03-05T00:00:00
2347,,,-54.541653336,,2.0,2019-03-06T00:00:00,2019-03-06T00:00:00
2346,,,45.45834666399998,,4.0,2019-03-07T00:00:00,2019-03-07T00:00:00
2345,,,15.458346664,,5.0,2019-03-08T00:00:00,2019-03-08T00:00:00
2344,,,45.458346664,,6.0,2019-03-09T00:00:00,2019-03-09T00:00:00
2343,,,15.458346664,,5.0,2019-03-10T00:00:00,2019-03-10T00:00:00
2342,,,70.45834666399999,,4.0,2019-03-11T00:00:00,2019-03-11T00:00:00
2341,,,95.458346664,,2.0,2019-03-12T00:00:00,2019-03-12T00:00:00
2340,,,45.45834666399998,,4.0,2019-03-13T00:00:00,2019-03-13T00:00:00
2339,,,62.12501333066667,,3.0,2019-03-14T00:00:00,2019-03-14T00:00:00
