Period_Group,NPS_2025,NPS_2024,NPS_2019,Target,Responses,Min_Date,Max_Date
2412,,,,,,2018-12-31T00:00:00,2018-12-31T00:00:00
2411,,,-4.541653336,,1.0,2019-01-01T00:00:00,2019-01-01T00:00:00
2410,,,-4.541653336,,2.0,2019-01-02T00:00:00,2019-01-02T00:00:00
2409,,,-4.541653336,,3.0,2019-01-03T00:00:00,2019-01-03T00:00:00
2408,,,95.458346664,,1.0,2019-01-04T00:00:00,2019-01-04T00:00:00
2407,,,95.458346664,,1.0,2019-01-05T00:00:00,2019-01-05T00:00:00
2406,,,,,,2019-01-06T00:00:00,2019-01-06T00:00:00
2405,,,-4.541653336,,2.0,2019-01-07T00:00:00,2019-01-07T00:00:00
2404,,,45.458346664000004,,6.0,2019-01-08T00:00:00,2019-01-08T00:00:00
2403,,,95.458346664,,2.0,2019-01-09T00:00:00,2019-01-09T00:00:00
2402,,,,,,2019-01-10T00:00:00,2019-01-10T00:00:00
2401,,,28.79167999733333,,3.0,2019-01-11T00:00:00,2019-01-11T00:00:00
2400,,,95.458346664,,2.0,2019-01-12T00:00:00,2019-01-12T00:00:00
2399,,,-54.541653336,,2.0,2019-01-13T00:00:00,2019-01-13T00:00:00
2398,,,-4.541653336,,2.0,2019-01-14T00:00:00,2019-01-14T00:00:00
2397,,,95.45834666400002,,3.0,2019-01-15T00:00:00,2019-01-15T00:00:00
2396,,,,,,2019-01-16T00:00:00,2019-01-16T00:00:00
2395,,,-100.0,,1.0,2019-01-17T00:00:00,2019-01-17T00:00:00
2394,,,15.458346664,,5.0,2019-01-18T00:00:00,2019-01-18T00:00:00
2393,,,-100.0,,1.0,2019-01-19T00:00:00,2019-01-19T00:00:00
2392,,,,,,2019-01-20T00:00:00,2019-01-20T00:00:00
2391,,,-4.541653336,,3.0,2019-01-21T00:00:00,2019-01-21T00:00:00
2390,,,-100.0,,1.0,2019-01-22T00:00:00,2019-01-22T00:00:00
2389,,,62.125013330666654,,3.0,2019-01-23T00:00:00,2019-01-23T00:00:00
2388,,,-54.541653336,,2.0,2019-01-24T00:00:00,2019-01-24T00:00:00
2387,,,70.45834666400002,,4.0,2019-01-25T00:00:00,2019-01-25T00:00:00
2386,,,-4.541653336,,2.0,2019-01-26T00:00:00,2019-01-26T00:00:00
2385,,,95.458346664,,1.0,2019-01-27T00:00:00,2019-01-27T00:00:00
2384,,,95.458346664,,2.0,2019-01-28T00:00:00,2019-01-28T00:00:00
2383,,,20.458346663999997,,8.0,2019-01-29T00:00:00,2019-01-29T00:00:00
2382,,,-4.541653336,,2.0,2019-01-30T00:00:00,2019-01-30T00:00:00
2381,,,95.458346664,,2.0,2019-01-31T00:00:00,2019-01-31T00:00:00
2380,,,-4.541653336,,4.0,2019-02-01T00:00:00,2019-02-01T00:00:00
2379,,,,,,2019-02-02T00:00:00,2019-02-02T00:00:00
2378,,,-4.541653336,,1.0,2019-02-03T00:00:00,2019-02-03T00:00:00
2377,,,95.458346664,,2.0,2019-02-04T00:00:00,2019-02-04T00:00:00
2376,,,95.458346664,,1.0,2019-02-05T00:00:00,2019-02-05T00:00:00
2375,,,-4.541653336,,1.0,2019-02-06T00:00:00,2019-02-06T00:00:00
2374,,,95.458346664,,3.0,2019-02-07T00:00:00,2019-02-07T00:00:00
2373,,,-37.87498666933333,,3.0,2019-02-08T00:00:00,2019-02-08T00:00:00
2372,,,45.458346664,,2.0,2019-02-09T00:00:00,2019-02-09T00:00:00
2371,,,-4.541653336,,3.0,2019-02-10T00:00:00,2019-02-10T00:00:00
2370,,,95.458346664,,4.0,2019-02-11T00:00:00,2019-02-11T00:00:00
2369,,,-4.541653336,,2.0,2019-02-12T00:00:00,2019-02-12T00:00:00
2368,,,-4.541653336,,1.0,2019-02-13T00:00:00,2019-02-13T00:00:00
2367,,,95.458346664,,1.0,2019-02-14T00:00:00,2019-02-14T00:00:00
2366,,,95.458346664,,1.0,2019-02-15T00:00:00,2019-02-15T00:00:00
2365,,,-37.87498666933333,,3.0,2019-02-16T00:00:00,2019-02-16T00:00:00
2364,,,95.458346664,,1.0,2019-02-17T00:00:00,2019-02-17T00:00:00
2363,,,-4.541653336,,2.0,2019-02-18T00:00:00,2019-02-18T00:00:00
2362,,,62.125013330666654,,3.0,2019-02-19T00:00:00,2019-02-19T00:00:00
2361,,,45.458346664,,4.0,2019-02-20T00:00:00,2019-02-20T00:00:00
2360,,,95.458346664,,3.0,2019-02-21T00:00:00,2019-02-21T00:00:00
2359,,,95.458346664,,1.0,2019-02-22T00:00:00,2019-02-22T00:00:00
2358,,,95.458346664,,1.0,2019-02-23T00:00:00,2019-02-23T00:00:00
2357,,,28.79167999733333,,3.0,2019-02-24T00:00:00,2019-02-24T00:00:00
2356,,,45.458346664,,2.0,2019-02-25T00:00:00,2019-02-25T00:00:00
2355,,,,,,2019-02-26T00:00:00,2019-02-26T00:00:00
2354,,,,,,2019-02-27T00:00:00,2019-02-27T00:00:00
2353,,,-4.541653336,,2.0,2019-02-28T00:00:00,2019-02-28T00:00:00
2352,,,-100.0,,1.0,2019-03-01T00:00:00,2019-03-01T00:00:00
2351,,,-4.541653336,,2.0,2019-03-02T00:00:00,2019-03-02T00:00:00
2350,,,-4.541653336,,2.0,2019-03-03T00:00:00,2019-03-03T00:00:00
2349,,,-37.87498666933333,,3.0,2019-03-04T00:00:00,2019-03-04T00:00:00
2348,,,,,,2019-03-05T00:00:00,2019-03-05T00:00:00
2347,,,95.458346664,,1.0,2019-03-06T00:00:00,2019-03-06T00:00:00
2346,,,28.79167999733333,,3.0,2019-03-07T00:00:00,2019-03-07T00:00:00
2345,,,-4.541653336,,2.0,2019-03-08T00:00:00,2019-03-08T00:00:00
2344,,,-4.541653336,,2.0,2019-03-09T00:00:00,2019-03-09T00:00:00
2343,,,95.458346664,,1.0,2019-03-10T00:00:00,2019-03-10T00:00:00
2342,,,-4.541653336,,2.0,2019-03-11T00:00:00,2019-03-11T00:00:00
2341,,,95.458346664,,1.0,2019-03-12T00:00:00,2019-03-12T00:00:00
2340,,,95.458346664,,2.0,2019-03-13T00:00:00,2019-03-13T00:00:00
2339,,,70.458346664,,4.0,2019-03-14T00:00:00,2019-03-14T00:00:00
2338,,,-4.541653336,,3.0,2019-03-15T00:00:00,2019-03-15T00:00:00
2337,,,-4.541653336,,1.0,2019-03-16T00:00:00,2019-03-16T00:00:00
2336,,,-4.541653336,,1.0,2019-03-17T00:00:00,2019-03-17T00:00:00
2335,,,70.458346664,,4.0,2019-03-18T00:00:00,2019-03-18T00:00:00
2334,,,95.458346664,,1.0,2019-03-19T00:00:00,2019-03-19T00:00:00
2333,,,-4.541653336,,5.0,2019-03-20T00:00:00,2019-03-20T00:00:00
2332,,,95.458346664,,1.0,2019-03-21T00:00:00,2019-03-21T00:00:00
2331,,,,,,2019-03-22T00:00:00,2019-03-22T00:00:00
2330,,,95.458346664,,1.0,2019-03-23T00:00:00,2019-03-23T00:00:00
2329,,,,,,2019-03-24T00:00:00,2019-03-24T00:00:00
2328,,,95.458346664,,1.0,2019-03-25T00:00:00,2019-03-25T00:00:00
2327,,,-4.541653336,,2.0,2019-03-26T00:00:00,2019-03-26T00:00:00
2326,,,,,,2019-03-27T00:00:00,2019-03-27T00:00:00
2325,,,,,,2019-03-28T00:00:00,2019-03-28T00:00:00
2324,,,-4.541653336,,1.0,2019-03-29T00:00:00,2019-03-29T00:00:00
2323,,,,,,2019-03-30T00:00:00,2019-03-30T00:00:00
2322,,,,,,2019-03-31T00:00:00,2019-03-31T00:00:00
2321,,,-4.541653336,,2.0,2019-04-01T00:00:00,2019-04-01T00:00:00
2320,,,,,,2019-04-02T00:00:00,2019-04-02T00:00:00
2319,,,-4.541653336,,2.0,2019-04-03T00:00:00,2019-04-03T00:00:00
2318,,,-44.54165333600001,,5.0,2019-04-04T00:00:00,2019-04-04T00:00:00
2317,,,95.458346664,,1.0,2019-04-05T00:00:00,2019-04-05T00:00:00
2316,,,,,,2019-04-06T00:00:00,2019-04-06T00:00:00
2315,,,95.458346664,,1.0,2019-04-07T00:00:00,2019-04-07T00:00:00
