Period_Group,NPS_2025,NPS_2024,NPS_2019,Target,Responses,Min_Date,Max_Date
2412,,,,,,2018-12-31T00:00:00,2018-12-31T00:00:00
2411,,,43.73420873296552,,87.0,2019-01-01T00:00:00,2019-01-01T00:00:00
2410,,,25.85834666399998,,125.0,2019-01-02T00:00:00,2019-01-02T00:00:00
2409,,,27.71641118012904,,93.0,2019-01-03T00:00:00,2019-01-03T00:00:00
2408,,,33.64016484581816,,110.0,2019-01-04T00:00:00,2019-01-04T00:00:00
2407,,,29.179276896558154,,86.0,2019-01-05T00:00:00,2019-01-05T00:00:00
2406,,,30.289807338157306,,89.0,2019-01-06T00:00:00,2019-01-06T00:00:00
2405,,,29.371390142260847,,115.0,2019-01-07T00:00:00,2019-01-07T00:00:00
2404,,,33.91988512553844,,143.0,2019-01-08T00:00:00,2019-01-08T00:00:00
2403,,,29.8739310795844,,154.0,2019-01-09T00:00:00,2019-01-09T00:00:00
2402,,,26.96519597906848,,146.0,2019-01-10T00:00:00,2019-01-10T00:00:00
2401,,,24.572270714632896,,158.0,2019-01-11T00:00:00,2019-01-11T00:00:00
2400,,,27.925879131532486,,77.0,2019-01-12T00:00:00,2019-01-12T00:00:00
2399,,,19.05385228197752,,89.0,2019-01-13T00:00:00,2019-01-13T00:00:00
2398,,,19.35771773318238,,159.0,2019-01-14T00:00:00,2019-01-14T00:00:00
2397,,,35.709918991044006,,159.0,2019-01-15T00:00:00,2019-01-15T00:00:00
2396,,,22.846881695847124,,157.0,2019-01-16T00:00:00,2019-01-16T00:00:00
2395,,,37.5315173957073,,164.0,2019-01-17T00:00:00,2019-01-17T00:00:00
2394,,,34.702532710511264,,344.0,2019-01-18T00:00:00,2019-01-18T00:00:00
2393,,,44.029775235428566,,175.0,2019-01-19T00:00:00,2019-01-19T00:00:00
2392,,,41.74406094971427,,175.0,2019-01-20T00:00:00,2019-01-20T00:00:00
2391,,,29.1726323782857,,175.0,2019-01-21T00:00:00,2019-01-21T00:00:00
2390,,,27.10391628425307,,237.0,2019-01-22T00:00:00,2019-01-22T00:00:00
2389,,,33.27652848218159,,275.0,2019-01-23T00:00:00,2019-01-23T00:00:00
2388,,,25.050183398693868,,196.0,2019-01-24T00:00:00,2019-01-24T00:00:00
2387,,,32.71949316081499,,314.0,2019-01-25T00:00:00,2019-01-25T00:00:00
2386,,,40.74136553192451,,159.0,2019-01-26T00:00:00,2019-01-26T00:00:00
2385,,,31.94483315048647,,148.0,2019-01-27T00:00:00,2019-01-27T00:00:00
2384,,,25.49497670062987,,273.0,2019-01-28T00:00:00,2019-01-28T00:00:00
2383,,,28.92942104416517,,242.0,2019-01-29T00:00:00,2019-01-29T00:00:00
2382,,,28.047632378285652,,224.0,2019-01-30T00:00:00,2019-01-30T00:00:00
2381,,,20.073731279384607,,195.0,2019-01-31T00:00:00,2019-01-31T00:00:00
2380,,,28.61624140084216,,190.0,2019-02-01T00:00:00,2019-02-01T00:00:00
2379,,,36.57984199110288,,107.0,2019-02-02T00:00:00,2019-02-02T00:00:00
2378,,,30.15222421502042,,49.0,2019-02-03T00:00:00,2019-02-03T00:00:00
2377,,,25.34340413526448,,174.0,2019-02-04T00:00:00,2019-02-04T00:00:00
2376,,,34.647535853189346,,148.0,2019-02-05T00:00:00,2019-02-05T00:00:00
2375,,,31.31492036917913,,251.0,2019-02-06T00:00:00,2019-02-06T00:00:00
2374,,,40.70424830334396,,305.0,2019-02-07T00:00:00,2019-02-07T00:00:00
2373,,,31.50485829190679,,258.0,2019-02-08T00:00:00,2019-02-08T00:00:00
2372,,,39.776528482181824,,88.0,2019-02-09T00:00:00,2019-02-09T00:00:00
2371,,,38.82117852240717,,113.0,2019-02-10T00:00:00,2019-02-10T00:00:00
2370,,,29.604688127414615,,205.0,2019-02-11T00:00:00,2019-02-11T00:00:00
2369,,,33.95207051337224,,239.0,2019-02-12T00:00:00,2019-02-12T00:00:00
2368,,,26.103507954322634,,186.0,2019-02-13T00:00:00,2019-02-13T00:00:00
2367,,,28.5410534309171,,266.0,2019-02-14T00:00:00,2019-02-14T00:00:00
2366,,,30.773031978685058,,286.0,2019-02-15T00:00:00,2019-02-15T00:00:00
2365,,,28.04261632692143,,178.0,2019-02-16T00:00:00,2019-02-16T00:00:00
2364,,,15.88088187526768,,142.0,2019-02-17T00:00:00,2019-02-17T00:00:00
2363,,,39.644393175628046,,129.0,2019-02-18T00:00:00,2019-02-18T00:00:00
2362,,,33.194195720603844,,106.0,2019-02-19T00:00:00,2019-02-19T00:00:00
2361,,,34.39639976134522,,113.0,2019-02-20T00:00:00,2019-02-20T00:00:00
2360,,,34.4654388625817,,141.0,2019-02-21T00:00:00,2019-02-21T00:00:00
2359,,,28.79167999733345,,132.0,2019-02-22T00:00:00,2019-02-22T00:00:00
2358,,,34.44139751145762,,59.0,2019-02-23T00:00:00,2019-02-23T00:00:00
2357,,,39.39774060339395,,66.0,2019-02-24T00:00:00,2019-02-24T00:00:00
2356,,,35.062307060039664,,101.0,2019-02-25T00:00:00,2019-02-25T00:00:00
2355,,,28.53526974092318,,130.0,2019-02-26T00:00:00,2019-02-26T00:00:00
2354,,,33.51804815653744,,134.0,2019-02-27T00:00:00,2019-02-27T00:00:00
